MR;Type;STC;FUTCs;LocalDistance
MR38;CONJUNCTIVE_CONTRACT;Test-09;1;1
MR26;EQUIVALENCE_EXTEND;Test-06;1;1
MR66;CONJUNCTIVE_EXTEND;Test-15;2;3
MR48;CONJUNCTIVE_EXTEND;Test-11;1;2
MR69;DISJOINT_EXTEND;Test-16;4;4
MR16;EQUIVALENCE_EXTEND;Test-04;1;1
MR5;EQUIVALENCE_EXTEND;Test-01;1;1
MR63;CONJUNCTIVE_EXTEND;Test-15;1;3
MR42;CONJUNCTIVE_CONTRACT;Test-10;1;1
MR4;DISJOINT_EXTEND;Test-01;4;4
MR73;CONJUNCTIVE_CONTRACT;Test-18;1;2
MR72;CONJUNCTIVE_CONTRACT;Test-18;2;2
MR43;CONJUNCTIVE_EXTEND;Test-10;1;1
MR22;CONJUNCTIVE_CONTRACT;Test-06;2;2
MR51;CONJUNCTIVE_CONTRACT;Test-12;1;2
MR3;CONJUNCTIVE_EXTEND;Test-01;1;1
MR75;CONJUNCTIVE_EXTEND;Test-18;2;2
MR17;CONJUNCTIVE_CONTRACT;Test-05;1;1
MR2;CONJUNCTIVE_CONTRACT;Test-01;3;3
MR49;COMPLETE_EXTEND;Test-11;6;6
MR27;CONJUNCTIVE_CONTRACT;Test-07;2;3
MR61;DISJOINT_EXTEND;Test-14;3;3
MR29;CONJUNCTIVE_CONTRACT;Test-07;1;3
MR28;CONJUNCTIVE_CONTRACT;Test-07;2;3
MR57;CONJUNCTIVE_EXTEND;Test-13;1;2
MR44;DISJOINT_EXTEND;Test-10;4;4
MR13;DISJOINT_EXTEND;Test-03;1;1
MR34;CONJUNCTIVE_CONTRACT;Test-08;2;2
MR41;CONJUNCTIVE_CONTRACT;Test-10;1;2
MR19;CONJUNCTIVE_EXTEND;Test-05;2;2
MR59;DISJOINT_EXTEND;Test-13;2;2
MR70;CONJUNCTIVE_EXTEND;Test-17;3;3
MR33;EQUIVALENCE_EXTEND;Test-07;1;1
MR47;CONJUNCTIVE_EXTEND;Test-11;2;2
MR56;CONJUNCTIVE_EXTEND;Test-13;2;2
MR35;CONJUNCTIVE_EXTEND;Test-08;1;1
MR18;CONJUNCTIVE_EXTEND;Test-05;1;2
MR7;CONJUNCTIVE_EXTEND;Test-02;2;2
MR62;EQUIVALENCE_EXTEND;Test-14;1;1
MR68;CONJUNCTIVE_CONTRACT;Test-16;2;3
MR67;COMPLETE_EXTEND;Test-15;6;6
MR55;CONJUNCTIVE_CONTRACT;Test-13;2;2
MR23;CONJUNCTIVE_EXTEND;Test-06;1;2
MR8;CONJUNCTIVE_EXTEND;Test-02;1;2
MR76;CONJUNCTIVE_EXTEND;Test-18;1;2
MR74;CONJUNCTIVE_CONTRACT;Test-18;2;2
MR10;COMPLETE_EXTEND;Test-02;6;6
MR46;CONJUNCTIVE_EXTEND;Test-11;2;2
MR11;EQUIVALENCE_EXTEND;Test-02;1;1
MR39;DISJOINT_EXTEND;Test-09;4;4
MR58;CONJUNCTIVE_EXTEND;Test-13;2;2
MR30;CONJUNCTIVE_CONTRACT;Test-07;3;3
MR78;COMPLETE_EXTEND;Test-18;6;6
MR77;CONJUNCTIVE_EXTEND;Test-18;2;2
MR45;CONJUNCTIVE_CONTRACT;Test-11;1;1
MR1;CONJUNCTIVE_CONTRACT;Test-01;1;3
MR52;CONJUNCTIVE_EXTEND;Test-12;1;1
MR0;CONJUNCTIVE_CONTRACT;Test-01;2;3
MR37;CONJUNCTIVE_CONTRACT;Test-09;1;2
MR9;CONJUNCTIVE_EXTEND;Test-02;2;2
MR32;COMPLETE_EXTEND;Test-07;6;6
MR12;CONJUNCTIVE_CONTRACT;Test-03;1;3
MR21;CONJUNCTIVE_CONTRACT;Test-06;2;2
MR36;DISJOINT_EXTEND;Test-08;2;2
MR20;COMPLETE_EXTEND;Test-05;6;6
MR64;CONJUNCTIVE_EXTEND;Test-15;2;3
MR31;CONJUNCTIVE_EXTEND;Test-07;1;1
MR60;CONJUNCTIVE_EXTEND;Test-14;1;1
MR65;CONJUNCTIVE_EXTEND;Test-15;2;3
MR15;DISJOINT_EXTEND;Test-04;4;4
MR53;DISJOINT_EXTEND;Test-12;3;3
MR50;CONJUNCTIVE_CONTRACT;Test-12;2;2
MR24;CONJUNCTIVE_EXTEND;Test-06;2;2
MR40;EQUIVALENCE_EXTEND;Test-09;1;1
MR6;CONJUNCTIVE_CONTRACT;Test-02;1;1
MR14;CONJUNCTIVE_CONTRACT;Test-04;2;3
MR71;CONJUNCTIVE_EXTEND;Test-17;3;3
MR54;CONJUNCTIVE_CONTRACT;Test-13;1;2
MR25;DISJOINT_EXTEND;Test-06;5;5
