MR;Type;STC;FUTCs;LocalDistance
MR239;COMPLETE_EXTEND;Test-22;3;3
MR110;CONJUNCTIVE_EXTEND;Test-10;3;3
MR175;CONJUNCTIVE_CONTRACT;Test-17;4;6
MR250;CONJUNCTIVE_CONTRACT;Test-24;2;4
MR396;CONJUNCTIVE_CONTRACT;Test-38;1;2
MR3;CONJUNCTIVE_CONTRACT;Test-01;3;5
MR379;CONJUNCTIVE_CONTRACT;Test-35;4;6
MR199;CONJUNCTIVE_CONTRACT;Test-19;2;6
MR417;CONJUNCTIVE_CONTRACT;Test-40;1;3
MR107;CONJUNCTIVE_EXTEND;Test-10;2;3
MR61;CONJUNCTIVE_CONTRACT;Test-06;2;4
MR152;CONJUNCTIVE_CONTRACT;Test-15;2;6
MR76;CONJUNCTIVE_CONTRACT;Test-07;2;7
MR378;DISJOINT_EXTEND;Test-34;2;2
MR36;CONJUNCTIVE_CONTRACT;Test-04;2;5
MR265;CONJUNCTIVE_CONTRACT;Test-25;2;5
MR96;SHUFFLING_CONTRACT;Test-09;1;1
MR109;CONJUNCTIVE_EXTEND;Test-10;2;3
MR246;DISJOINT_EXTEND;Test-23;2;2
MR220;CONJUNCTIVE_CONTRACT;Test-21;2;5
MR338;SHUFFLING_EXTEND;Test-31;4;4
MR17;CONJUNCTIVE_EXTEND;Test-02;2;2
MR281;CONJUNCTIVE_CONTRACT;Test-27;2;3
MR383;SHUFFLING_EXTEND;Test-35;4;4
MR327;SHUFFLING_EXTEND;Test-30;1;1
MR176;CONJUNCTIVE_CONTRACT;Test-17;4;6
MR209;CONJUNCTIVE_CONTRACT;Test-20;2;5
MR231;CONJUNCTIVE_CONTRACT;Test-22;3;5
MR334;CONJUNCTIVE_EXTEND;Test-31;1;2
MR11;CONJUNCTIVE_CONTRACT;Test-02;2;5
MR419;CONJUNCTIVE_CONTRACT;Test-40;2;3
MR140;CONJUNCTIVE_EXTEND;Test-13;2;3
MR106;CONJUNCTIVE_EXTEND;Test-10;2;3
MR171;CONJUNCTIVE_EXTEND;Test-16;2;3
MR144;DISJOINT_EXTEND;Test-13;1;1
MR299;CONJUNCTIVE_CONTRACT;Test-28;3;4
MR429;SHUFFLING_EXTEND;Test-40;5;5
MR145;CONJUNCTIVE_CONTRACT;Test-14;4;6
MR48;CONJUNCTIVE_CONTRACT;Test-05;3;6
MR323;CONJUNCTIVE_CONTRACT;Test-30;2;5
MR219;CONJUNCTIVE_CONTRACT;Test-21;2;5
MR385;CONJUNCTIVE_CONTRACT;Test-36;3;6
MR343;CONJUNCTIVE_CONTRACT;Test-32;2;3
MR53;CONJUNCTIVE_CONTRACT;Test-05;2;6
MR313;CONJUNCTIVE_CONTRACT;Test-29;3;7
MR160;SHUFFLING_EXTEND;Test-15;3;3
MR193;CONJUNCTIVE_EXTEND;Test-18;2;3
MR370;CONJUNCTIVE_CONTRACT;Test-34;3;6
MR142;SHUFFLING_CONTRACT;Test-13;1;1
MR84;CONJUNCTIVE_CONTRACT;Test-08;3;5
MR400;CONJUNCTIVE_EXTEND;Test-38;3;5
MR149;SHUFFLING_EXTEND;Test-14;1;1
MR188;CONJUNCTIVE_CONTRACT;Test-18;1;4
MR173;SHUFFLING_EXTEND;Test-16;4;4
MR13;CONJUNCTIVE_CONTRACT;Test-02;3;5
MR421;CONJUNCTIVE_EXTEND;Test-40;2;4
MR57;SHUFFLING_EXTEND;Test-05;1;1
MR446;SHUFFLING_CONTRACT;Test-42;1;1
MR93;CONJUNCTIVE_EXTEND;Test-09;1;2
MR329;CONJUNCTIVE_CONTRACT;Test-31;2;5
MR245;SHUFFLING_EXTEND;Test-23;4;4
MR65;CONJUNCTIVE_EXTEND;Test-06;2;3
MR213;SHUFFLING_CONTRACT;Test-20;1;1
MR337;SHUFFLING_CONTRACT;Test-31;1;1
MR420;CONJUNCTIVE_CONTRACT;Test-40;3;3
MR439;CONJUNCTIVE_CONTRACT;Test-42;2;2
MR216;CONJUNCTIVE_CONTRACT;Test-21;1;5
MR179;CONJUNCTIVE_CONTRACT;Test-17;3;6
MR463;SHUFFLING_EXTEND;Test-43;5;5
MR364;CONJUNCTIVE_EXTEND;Test-33;2;4
MR450;CONJUNCTIVE_CONTRACT;Test-43;2;4
MR101;CONJUNCTIVE_CONTRACT;Test-10;3;4
MR102;CONJUNCTIVE_CONTRACT;Test-10;2;4
MR20;SHUFFLING_EXTEND;Test-02;1;1
MR276;SHUFFLING_CONTRACT;Test-26;1;1
MR12;CONJUNCTIVE_CONTRACT;Test-02;4;5
MR295;CONJUNCTIVE_CONTRACT;Test-28;3;4
MR366;SHUFFLING_CONTRACT;Test-33;1;1
MR207;CONJUNCTIVE_CONTRACT;Test-20;2;5
MR377;SHUFFLING_EXTEND;Test-34;1;1
MR339;DISJOINT_EXTEND;Test-31;1;1
MR0;CONJUNCTIVE_CONTRACT;Test-01;2;5
MR330;CONJUNCTIVE_CONTRACT;Test-31;2;5
MR22;CONJUNCTIVE_CONTRACT;Test-03;1;4
MR147;CONJUNCTIVE_CONTRACT;Test-14;3;6
MR451;CONJUNCTIVE_CONTRACT;Test-43;4;4
MR333;CONJUNCTIVE_CONTRACT;Test-31;3;5
MR252;CONJUNCTIVE_CONTRACT;Test-24;3;4
MR174;COMPLETE_EXTEND;Test-16;4;4
MR240;CONJUNCTIVE_CONTRACT;Test-23;3;6
MR302;CONJUNCTIVE_EXTEND;Test-28;2;3
MR336;CONJUNCTIVE_EXTEND;Test-31;2;2
MR401;SHUFFLING_CONTRACT;Test-38;1;1
MR15;CONJUNCTIVE_CONTRACT;Test-02;1;5
MR294;CONJUNCTIVE_CONTRACT;Test-28;2;4
MR284;CONJUNCTIVE_CONTRACT;Test-27;2;3
MR269;CONJUNCTIVE_CONTRACT;Test-26;2;3
MR279;COMPLETE_EXTEND;Test-26;4;4
MR438;CONJUNCTIVE_CONTRACT;Test-42;1;2
MR94;CONJUNCTIVE_EXTEND;Test-09;2;2
MR404;CONJUNCTIVE_CONTRACT;Test-39;3;4
MR289;CONJUNCTIVE_EXTEND;Test-27;2;4
MR129;CONJUNCTIVE_EXTEND;Test-12;2;2
MR306;DISJOINT_EXTEND;Test-28;2;2
MR351;SHUFFLING_CONTRACT;Test-32;1;1
MR347;CONJUNCTIVE_EXTEND;Test-32;1;4
MR191;CONJUNCTIVE_CONTRACT;Test-18;3;4
MR166;CONJUNCTIVE_CONTRACT;Test-16;2;4
MR127;CONJUNCTIVE_CONTRACT;Test-12;2;5
MR254;CONJUNCTIVE_EXTEND;Test-24;2;3
MR185;DISJOINT_EXTEND;Test-17;2;2
MR354;COMPLETE_EXTEND;Test-32;4;4
MR88;CONJUNCTIVE_CONTRACT;Test-09;2;5
MR312;CONJUNCTIVE_CONTRACT;Test-29;3;7
MR320;CONJUNCTIVE_CONTRACT;Test-30;1;5
MR427;CONJUNCTIVE_EXTEND;Test-40;2;4
MR79;COMPLETE_EXTEND;Test-07;3;3
MR25;CONJUNCTIVE_CONTRACT;Test-03;3;4
