MR;Type;STC;FUTCs;LocalDistance
MR593;CONJUNCTIVE_CONTRACT;Test-12;2;10
MR119;CONJUNCTIVE_CONTRACT;Test-03;1;18
MR747;CONJUNCTIVE_CONTRACT;Test-15;6;12
MR552;CONJUNCTIVE_CONTRACT;Test-11;6;17
MR197;CONJUNCTIVE_EXTEND;Test-04;4;11
MR284;CONJUNCTIVE_CONTRACT;Test-06;5;14
MR492;CONJUNCTIVE_CONTRACT;Test-10;2;14
MR345;CONJUNCTIVE_EXTEND;Test-07;5;12
MR1021;CONJUNCTIVE_CONTRACT;Test-20;3;15
MR577;CONJUNCTIVE_EXTEND;Test-11;6;8
MR399;CONJUNCTIVE_EXTEND;Test-08;3;11
MR294;CONJUNCTIVE_EXTEND;Test-06;2;11
MR510;CONJUNCTIVE_EXTEND;Test-10;5;11
MR34;CONJUNCTIVE_EXTEND;Test-01;3;12
MR517;CONJUNCTIVE_EXTEND;Test-10;2;11
MR726;CONJUNCTIVE_EXTEND;Test-14;3;9
MR684;CONJUNCTIVE_EXTEND;Test-13;3;10
MR1060;SHUFFLING_EXTEND;Test-20;1;1
MR387;CONJUNCTIVE_CONTRACT;Test-08;4;14
MR1048;CONJUNCTIVE_EXTEND;Test-20;2;10
MR854;CONJUNCTIVE_CONTRACT;Test-17;6;12
MR150;CONJUNCTIVE_EXTEND;Test-03;1;7
MR468;CONJUNCTIVE_EXTEND;Test-09;3;9
MR768;CONJUNCTIVE_CONTRACT;Test-15;4;12
MR672;CONJUNCTIVE_EXTEND;Test-13;3;10
MR504;CONJUNCTIVE_EXTEND;Test-10;5;11
MR326;CONJUNCTIVE_CONTRACT;Test-07;3;13
MR700;CONJUNCTIVE_CONTRACT;Test-14;3;16
MR571;CONJUNCTIVE_EXTEND;Test-11;4;8
MR690;CONJUNCTIVE_CONTRACT;Test-14;2;16
MR295;CONJUNCTIVE_EXTEND;Test-06;4;11
MR1018;CONJUNCTIVE_CONTRACT;Test-20;1;15
MR77;CONJUNCTIVE_EXTEND;Test-02;1;11
MR408;CONJUNCTIVE_EXTEND;Test-08;4;11
MR71;CONJUNCTIVE_CONTRACT;Test-02;6;14
MR192;CONJUNCTIVE_EXTEND;Test-04;3;11
MR876;CONJUNCTIVE_EXTEND;Test-17;2;13
MR186;CONJUNCTIVE_EXTEND;Test-04;3;11
MR91;CONJUNCTIVE_EXTEND;Test-02;3;11
MR548;CONJUNCTIVE_CONTRACT;Test-11;3;17
MR623;CONJUNCTIVE_EXTEND;Test-12;2;15
MR652;CONJUNCTIVE_CONTRACT;Test-13;4;15
MR9;CONJUNCTIVE_CONTRACT;Test-01;4;13
MR796;SHUFFLING_EXTEND;Test-15;5;5
MR996;CONJUNCTIVE_EXTEND;Test-19;5;16
MR704;CONJUNCTIVE_CONTRACT;Test-14;3;16
MR262;CONJUNCTIVE_EXTEND;Test-05;5;12
MR49;CONJUNCTIVE_CONTRACT;Test-02;3;14
MR958;CONJUNCTIVE_CONTRACT;Test-19;2;9
MR885;CONJUNCTIVE_EXTEND;Test-17;5;13
MR120;CONJUNCTIVE_CONTRACT;Test-03;3;18
MR565;CONJUNCTIVE_EXTEND;Test-11;3;8
MR211;CONJUNCTIVE_CONTRACT;Test-05;4;13
MR731;CONJUNCTIVE_EXTEND;Test-14;2;9
MR88;CONJUNCTIVE_EXTEND;Test-02;4;11
MR22;CONJUNCTIVE_CONTRACT;Test-01;3;13
MR644;CONJUNCTIVE_CONTRACT;Test-13;3;15
MR501;CONJUNCTIVE_EXTEND;Test-10;3;11
MR44;CONJUNCTIVE_EXTEND;Test-01;4;12
MR220;CONJUNCTIVE_CONTRACT;Test-05;4;13
MR370;SHUFFLING_EXTEND;Test-07;3;3
MR568;CONJUNCTIVE_EXTEND;Test-11;2;8
MR835;CONJUNCTIVE_EXTEND;Test-16;2;11
MR842;CONJUNCTIVE_EXTEND;Test-16;2;11
MR983;CONJUNCTIVE_EXTEND;Test-19;4;16
MR831;CONJUNCTIVE_EXTEND;Test-16;2;11
MR588;CONJUNCTIVE_CONTRACT;Test-12;3;10
MR514;CONJUNCTIVE_EXTEND;Test-10;5;11
MR116;CONJUNCTIVE_CONTRACT;Test-03;3;18
MR450;CONJUNCTIVE_EXTEND;Test-09;1;9
MR306;CONJUNCTIVE_EXTEND;Test-06;2;11
MR631;DISJOINT_EXTEND;Test-12;1;1
MR376;CONJUNCTIVE_CONTRACT;Test-08;2;14
MR84;CONJUNCTIVE_EXTEND;Test-02;2;11
MR852;CONJUNCTIVE_CONTRACT;Test-17;3;12
MR630;DISJOINT_EXTEND;Test-12;1;1
MR544;CONJUNCTIVE_CONTRACT;Test-11;6;17
MR810;CONJUNCTIVE_CONTRACT;Test-16;6;14
MR633;CONJUNCTIVE_CONTRACT;Test-13;3;15
MR670;CONJUNCTIVE_EXTEND;Test-13;3;10
MR951;CONJUNCTIVE_EXTEND;Test-18;2;12
MR195;CONJUNCTIVE_EXTEND;Test-04;3;11
MR1050;CONJUNCTIVE_EXTEND;Test-20;3;10
MR848;CONJUNCTIVE_EXTEND;Test-16;3;11
MR36;CONJUNCTIVE_EXTEND;Test-01;3;12
MR819;CONJUNCTIVE_CONTRACT;Test-16;3;14
MR550;CONJUNCTIVE_CONTRACT;Test-11;3;17
MR624;CONJUNCTIVE_EXTEND;Test-12;3;15
MR83;CONJUNCTIVE_EXTEND;Test-02;2;11
MR595;CONJUNCTIVE_CONTRACT;Test-12;1;10
MR164;CONJUNCTIVE_CONTRACT;Test-04;3;14
MR653;CONJUNCTIVE_CONTRACT;Test-13;5;15
MR664;CONJUNCTIVE_EXTEND;Test-13;3;10
MR261;CONJUNCTIVE_EXTEND;Test-05;3;12
MR755;CONJUNCTIVE_CONTRACT;Test-15;5;12
MR171;CONJUNCTIVE_CONTRACT;Test-04;4;14
MR499;CONJUNCTIVE_CONTRACT;Test-10;3;14
MR883;CONJUNCTIVE_EXTEND;Test-17;2;13
MR398;CONJUNCTIVE_EXTEND;Test-08;3;11
MR693;CONJUNCTIVE_CONTRACT;Test-14;2;16
MR783;CONJUNCTIVE_EXTEND;Test-15;4;13
MR256;CONJUNCTIVE_EXTEND;Test-05;3;12
MR872;CONJUNCTIVE_CONTRACT;Test-17;4;12
MR794;CONJUNCTIVE_EXTEND;Test-15;3;13
MR475;COMPLETE_EXTEND;Test-09;4;4
MR869;CONJUNCTIVE_CONTRACT;Test-17;4;12
MR371;DISJOINT_EXTEND;Test-07;1;1
MR1061;DISJOINT_EXTEND;Test-20;1;1
MR538;CONJUNCTIVE_CONTRACT;Test-11;4;17
MR512;CONJUNCTIVE_EXTEND;Test-10;3;11
MR801;CONJUNCTIVE_CONTRACT;Test-16;2;14
MR732;CONJUNCTIVE_EXTEND;Test-14;4;9
MR340;CONJUNCTIVE_CONTRACT;Test-07;3;13
MR921;CONJUNCTIVE_CONTRACT;Test-18;5;13
MR369;CONJUNCTIVE_EXTEND;Test-07;3;12
MR95;CONJUNCTIVE_EXTEND;Test-02;4;11
MR158;DISJOINT_EXTEND;Test-03;1;1
MR1055;CONJUNCTIVE_EXTEND;Test-20;3;10
MR532;CONJUNCTIVE_CONTRACT;Test-11;2;17
MR80;CONJUNCTIVE_EXTEND;Test-02;3;11
MR1011;CONJUNCTIVE_CONTRACT;Test-20;3;15
MR591;CONJUNCTIVE_CONTRACT;Test-12;5;10
MR414;CONJUNCTIVE_EXTEND;Test-08;3;11
MR367;CONJUNCTIVE_EXTEND;Test-07;2;12
