MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;source_parameters_list;added_parameters_futc_1;removed_parameters_futc_1;changed_parameters_futc_1;added_parameters_futc_2;removed_parameters_futc_2;changed_parameters_futc_2;added_parameters_futc_3;removed_parameters_futc_3;changed_parameters_futc_3;added_parameters_futc_4;removed_parameters_futc_4;changed_parameters_futc_4;added_parameters_futc_5;removed_parameters_futc_5;changed_parameters_futc_5;added_parameters_futc_6;removed_parameters_futc_6;changed_parameters_futc_6
MR695;CONJUNCTIVE_CONTRACT;Test-14;23;1;16;[title, title_type, user_rating_min, number_votes_max, genres, title_groups, title_data, companies, US_certificates, color_info, languages, filming_locations, plot, cast_crew, runtime_min, runtime_max, sound_mix, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[];[US_certificates, cast_crew, color_info, companies, filming_locations, genres, languages, number_votes_max, plot, runtime_max, runtime_min, sound_mix, title_data, title_groups, title_type, user_rating_min];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR975;CONJUNCTIVE_CONTRACT;Test-19;16;3;9;[title, release_date_start, user_rating_max, title_data, companies, US_certificates, languages, filming_locations, popularity_max, sound_mix, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[];[filming_locations, languages, popularity_max, sound_mix, title_data, user_rating_max];[];[];[companies, release_date_start];[];[];[US_certificates];[];[];[];[];[];[];[];[];[];[]
MR293;CONJUNCTIVE_EXTEND;Test-06;21;3;11;[title, user_rating_max, number_votes_min, number_votes_max, genres, title_groups, title_data, companies, instant_watch_options, color_info, popularity_min, popularity_max, plot, cast_crew, runtime_max, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[US_certificates, countries, filming_locations, keyword, release_date_start, user_rating_min];[];[];[release_date_end, runtime_min, title_type];[];[];[languages, sound_mix];[];[];[];[];[];[];[];[];[];[];[]
MR920;CONJUNCTIVE_CONTRACT;Test-18;20;3;13;[title, release_date_end, user_rating_min, number_votes_min, genres, title_groups, title_data, companies, US_certificates, color_info, languages, popularity_max, cast_crew, runtime_min, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[];[color_info, companies, languages];[];[];[cast_crew, genres, number_votes_min, popularity_max, runtime_min, title_groups];[];[];[US_certificates, release_date_end, title_data, user_rating_min];[];[];[];[];[];[];[];[];[];[]
MR411;CONJUNCTIVE_EXTEND;Test-08;20;3;11;[title_type, release_date_start, user_rating_max, genres, title_data, instant_watch_options, US_certificates, color_info, languages, filming_locations, popularity_min, plot, runtime_min, runtime_max, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[cast_crew, countries, keyword, popularity_max, release_date_end, sound_mix];[];[];[companies, number_votes_max, user_rating_min];[];[];[number_votes_min, title_groups];[];[];[];[];[];[];[];[];[];[];[]
MR732;CONJUNCTIVE_EXTEND;Test-14;23;4;9;[title, title_type, user_rating_min, number_votes_max, genres, title_groups, title_data, companies, US_certificates, color_info, languages, filming_locations, plot, cast_crew, runtime_min, runtime_max, sound_mix, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[countries, keyword, number_votes_min, popularity_max];[];[];[popularity_min, release_date_end, release_date_start];[];[];[user_rating_max];[];[];[instant_watch_options];[];[];[];[];[];[];[];[]
MR1062;DISJOINT_EXTEND;Test-20;22;1;1;[title, title_type, user_rating_min, user_rating_max, genres, title_groups, title_data, companies, instant_watch_options, color_info, countries, popularity_min, popularity_max, plot, cast_crew, runtime_max, your_ratings, in_theaters, adult_titles:Exclude, display_options_format, display_options_page_size, sorted_by];[];[];[adult_titles:Include];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR749;CONJUNCTIVE_CONTRACT;Test-15;18;6;12;[title_type, user_rating_min, genres, title_data, companies, instant_watch_options, US_certificates, color_info, countries, languages, plot, sound_mix, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[];[US_certificates, companies, countries, plot, title_type];[];[];[color_info];[];[];[languages, sound_mix];[];[];[genres, user_rating_min];[];[];[instant_watch_options];[];[];[title_data];[]
MR967;CONJUNCTIVE_CONTRACT;Test-19;16;4;9;[title, release_date_start, user_rating_max, title_data, companies, US_certificates, languages, filming_locations, popularity_max, sound_mix, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[];[popularity_max];[];[];[US_certificates, companies, languages, sound_mix, user_rating_max];[];[];[filming_locations, release_date_start];[];[];[title_data];[];[];[];[];[];[];[]
MR50;CONJUNCTIVE_EXTEND;Test-01;20;5;12;[title, release_date_end, user_rating_max, genres, title_data, companies, instant_watch_options, US_certificates, color_info, keyword, languages, popularity_max, plot, sound_mix, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[runtime_max];[];[];[cast_crew, number_votes_max, number_votes_min, popularity_min, release_date_start, runtime_min, user_rating_min];[];[];[title_type];[];[];[filming_locations, title_groups];[];[];[countries];[];[];[];[];[]
MR391;CONJUNCTIVE_CONTRACT;Test-08;20;5;14;[title_type, release_date_start, user_rating_max, genres, title_data, instant_watch_options, US_certificates, color_info, languages, filming_locations, popularity_min, plot, runtime_min, runtime_max, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[];[color_info, runtime_min];[];[];[US_certificates, instant_watch_options, plot, popularity_min, title_data, title_type, user_rating_max];[];[];[languages];[];[];[release_date_start, runtime_max];[];[];[filming_locations, genres];[];[];[];[]
MR875;CONJUNCTIVE_CONTRACT;Test-17;18;4;12;[release_date_start, release_date_end, number_votes_min, genres, title_data, color_info, countries, filming_locations, cast_crew, runtime_min, runtime_max, sound_mix, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[];[color_info, countries, number_votes_min, release_date_start, runtime_max, runtime_min, sound_mix, title_data];[];[];[cast_crew];[];[];[genres, release_date_end];[];[];[filming_locations];[];[];[];[];[];[];[]
MR178;CONJUNCTIVE_CONTRACT;Test-04;21;3;14;[title, title_type, release_date_end, user_rating_min, title_groups, title_data, companies, instant_watch_options, US_certificates, color_info, countries, filming_locations, plot, cast_crew, sound_mix, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[];[cast_crew, color_info, filming_locations, instant_watch_options, title_data, title_type];[];[];[US_certificates, companies, countries, release_date_end, sound_mix, user_rating_min];[];[];[plot, title_groups];[];[];[];[];[];[];[];[];[];[]
