MR;Type;STC;FUTCs;LocalDistance
MR18;EQUIVALENCE_EXTEND;Test-06;1;2
MR48;EQUIVALENCE_EXTEND;Test-12;2;3
MR14;EQUIVALENCE_EXTEND;Test-05;1;1
MR17;DISJOINT_EXTEND;Test-06;1;1
MR10;DISJOINT_EXTEND;Test-04;2;2
MR16;DISJOINT_EXTEND;Test-06;5;5
MR2;EQUIVALENCE_EXTEND;Test-01;1;1
MR30;DISJOINT_EXTEND;Test-08;4;4
MR37;EQUIVALENCE_EXTEND;Test-09;1;3
MR41;EQUIVALENCE_EXTEND;Test-10;2;3
MR46;DISJOINT_EXTEND;Test-12;1;1
MR28;EQUIVALENCE_EXTEND;Test-07;2;4
MR21;DISJOINT_EXTEND;Test-07;4;4
MR9;DISJOINT_EXTEND;Test-04;3;3
MR36;EQUIVALENCE_EXTEND;Test-09;3;3
MR50;DISJOINT_EXTEND;Test-13;2;2
MR53;EQUIVALENCE_EXTEND;Test-13;1;1
MR34;EQUIVALENCE_EXTEND;Test-08;3;3
MR40;EQUIVALENCE_EXTEND;Test-10;2;3
MR5;EQUIVALENCE_EXTEND;Test-02;2;4
MR58;EQUIVALENCE_EXTEND;Test-15;2;3
MR13;DISJOINT_EXTEND;Test-05;3;3
MR22;DISJOINT_EXTEND;Test-07;3;3
MR52;DISJOINT_EXTEND;Test-13;4;4
MR26;EQUIVALENCE_EXTEND;Test-07;1;4
MR32;EQUIVALENCE_EXTEND;Test-08;2;3
MR35;EQUIVALENCE_EXTEND;Test-08;2;3
MR59;EQUIVALENCE_EXTEND;Test-15;1;3
MR47;EQUIVALENCE_EXTEND;Test-12;1;3
MR12;EQUIVALENCE_EXTEND;Test-04;1;1
MR23;DISJOINT_EXTEND;Test-07;2;2
MR27;EQUIVALENCE_EXTEND;Test-07;3;4
MR7;EQUIVALENCE_EXTEND;Test-03;2;3
MR56;DISJOINT_EXTEND;Test-15;1;1
MR43;EQUIVALENCE_EXTEND;Test-10;1;3
MR1;DISJOINT_EXTEND;Test-01;2;2
MR19;EQUIVALENCE_EXTEND;Test-06;2;2
MR4;EQUIVALENCE_EXTEND;Test-02;3;4
MR11;DISJOINT_EXTEND;Test-04;6;6
MR24;EQUIVALENCE_EXTEND;Test-07;2;4
MR39;EQUIVALENCE_EXTEND;Test-09;3;3
MR25;EQUIVALENCE_EXTEND;Test-07;2;4
MR51;DISJOINT_EXTEND;Test-13;1;1
MR8;EQUIVALENCE_EXTEND;Test-03;1;3
MR55;EQUIVALENCE_EXTEND;Test-14;2;2
MR3;EQUIVALENCE_EXTEND;Test-02;1;4
MR45;EQUIVALENCE_EXTEND;Test-11;1;1
MR31;DISJOINT_EXTEND;Test-08;6;6
MR20;EQUIVALENCE_EXTEND;Test-06;2;2
MR29;EQUIVALENCE_EXTEND;Test-07;2;4
MR33;EQUIVALENCE_EXTEND;Test-08;1;3
MR15;DISJOINT_EXTEND;Test-06;2;2
MR54;EQUIVALENCE_EXTEND;Test-14;1;2
MR42;EQUIVALENCE_EXTEND;Test-10;2;3
MR0;DISJOINT_EXTEND;Test-01;6;6
MR60;EQUIVALENCE_EXTEND;Test-15;2;3
MR49;EQUIVALENCE_EXTEND;Test-12;3;3
MR44;DISJOINT_EXTEND;Test-11;1;1
MR6;EQUIVALENCE_EXTEND;Test-02;3;4
MR57;DISJOINT_EXTEND;Test-15;3;3
MR38;EQUIVALENCE_EXTEND;Test-09;2;3
