MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;source_parameters_list;added_parameters_futc_1;removed_parameters_futc_1;changed_parameters_futc_1;added_parameters_futc_2;removed_parameters_futc_2;changed_parameters_futc_2;added_parameters_futc_3;removed_parameters_futc_3;changed_parameters_futc_3;added_parameters_futc_4;removed_parameters_futc_4;changed_parameters_futc_4;added_parameters_futc_5;removed_parameters_futc_5;changed_parameters_futc_5;added_parameters_futc_6;removed_parameters_futc_6;changed_parameters_futc_6
MR17;DISJOINT_EXTEND;Test-06;7;4;4;[term, country:IT, media, attribute, callback, limit, version];[];[];[country:AD];[];[];[country:AE];[];[];[country:AF];[];[];[country:AG];[];[];[];[];[];[]
MR23;EQUIVALENCE_EXTEND;Test-07;4;2;4;[term, country, callback, lang];[limit:50, media:all, version:2];[];[];[explicit:Yes];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR47;DISJOINT_EXTEND;Test-13;7;5;5;[term, country:IT, media, entity, lang, version, explicit];[];[];[country:AD];[];[];[country:AE];[];[];[country:AF];[];[];[country:AG];[];[];[country:AI];[];[];[]
MR15;DISJOINT_EXTEND;Test-05;7;5;5;[term, country:IT, media, entity, limit, lang, explicit];[];[];[country:AD];[];[];[country:AE];[];[];[country:AF];[];[];[country:AG];[];[];[country:AI];[];[];[]
MR3;EQUIVALENCE_EXTEND;Test-02;4;3;4;[term, media, entity, version];[country:US];[];[];[explicit:Yes, lang:en_us];[];[];[limit:50];[];[];[];[];[];[];[];[];[];[];[]
MR16;EQUIVALENCE_EXTEND;Test-05;7;1;1;[term, country, media, entity, limit, lang, explicit];[version:2];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR25;EQUIVALENCE_EXTEND;Test-07;4;2;4;[term, country, callback, lang];[explicit:Yes, media:all];[];[];[limit:50, version:2];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR29;EQUIVALENCE_EXTEND;Test-08;6;1;3;[term, country, media, entity, attribute, version];[explicit:Yes, lang:en_us, limit:50];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR13;DISJOINT_EXTEND;Test-04;7;3;3;[term, country:JP, media, attribute, lang, version, explicit];[];[];[country:AD];[];[];[country:AE];[];[];[country:AF];[];[];[];[];[];[];[];[];[]
MR33;EQUIVALENCE_EXTEND;Test-09;5;2;3;[term, media, attribute, version, explicit];[country:US, limit:50];[];[];[lang:en_us];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR50;EQUIVALENCE_EXTEND;Test-14;8;1;2;[term, media, entity, attribute, callback, lang, version, explicit];[country:US, limit:50];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR35;EQUIVALENCE_EXTEND;Test-09;5;3;3;[term, media, attribute, version, explicit];[lang:en_us];[];[];[limit:50];[];[];[country:US];[];[];[];[];[];[];[];[];[];[];[]
MR53;EQUIVALENCE_EXTEND;Test-15;5;2;3;[term, country, callback, version, explicit];[lang:en_us, limit:50];[];[];[media:all];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR44;EQUIVALENCE_EXTEND;Test-12;6;2;3;[term, country, media, entity, callback, explicit];[lang:en_us, version:2];[];[];[limit:50];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR18;EQUIVALENCE_EXTEND;Test-06;7;2;2;[term, country, media, attribute, callback, limit, version];[lang:en_us];[];[];[explicit:Yes];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR4;EQUIVALENCE_EXTEND;Test-02;4;3;4;[term, media, entity, version];[country:US, lang:en_us];[];[];[explicit:Yes];[];[];[limit:50];[];[];[];[];[];[];[];[];[];[];[]
MR38;EQUIVALENCE_EXTEND;Test-10;4;2;3;[term, limit, version, explicit];[country:US, lang:en_us];[];[];[media:all];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR2;EQUIVALENCE_EXTEND;Test-01;8;1;1;[term, country, media, attribute, callback, limit, lang, explicit];[version:2];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR55;EQUIVALENCE_EXTEND;Test-15;5;2;3;[term, country, callback, version, explicit];[limit:50];[];[];[lang:en_us, media:all];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR40;EQUIVALENCE_EXTEND;Test-10;4;1;3;[term, limit, version, explicit];[country:US, lang:en_us, media:all];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR57;EQUIVALENCE_EXTEND;Test-15;5;2;3;[term, country, callback, version, explicit];[limit:50, media:all];[];[];[lang:en_us];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR39;EQUIVALENCE_EXTEND;Test-10;4;3;3;[term, limit, version, explicit];[lang:en_us];[];[];[country:US];[];[];[media:all];[];[];[];[];[];[];[];[];[];[];[]
MR30;EQUIVALENCE_EXTEND;Test-08;6;2;3;[term, country, media, entity, attribute, version];[explicit:Yes, limit:50];[];[];[lang:en_us];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR34;EQUIVALENCE_EXTEND;Test-09;5;2;3;[term, media, attribute, version, explicit];[country:US];[];[];[lang:en_us, limit:50];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR41;DISJOINT_EXTEND;Test-11;9;5;5;[term, country:JP, media, entity, attribute, callback, lang, version, explicit];[];[];[country:AD];[];[];[country:AE];[];[];[country:AF];[];[];[country:AG];[];[];[country:AI];[];[];[]
MR24;EQUIVALENCE_EXTEND;Test-07;4;2;4;[term, country, callback, lang];[version:2];[];[];[explicit:Yes, limit:50, media:all];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR31;EQUIVALENCE_EXTEND;Test-08;6;2;3;[term, country, media, entity, attribute, version];[lang:en_us, limit:50];[];[];[explicit:Yes];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR9;EQUIVALENCE_EXTEND;Test-03;7;2;3;[term, media, entity, attribute, callback, limit, explicit];[country:US, lang:en_us];[];[];[version:2];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
