MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;STC;FUTC_1;FUTC_2;FUTC_3;FUTC_4;FUTC_5;FUTC_6
MR15;DISJOINT_EXTEND;Test-04;7;1;1;[term, country:JP, media, attribute, lang, version, explicit];[country:AD];[];[];[];[];[]
MR50;EQUIVALENCE_EXTEND;Test-11;9;1;1;[term, country, media, entity, attribute, callback, lang, version, explicit];[limit:50];[];[];[];[];[]
MR10;EQUIVALENCE_EXTEND;Test-03;7;3;3;[term, media, entity, attribute, callback, limit, explicit];[lang:en_us];[version:2];[country:US];[];[];[]
MR66;EQUIVALENCE_EXTEND;Test-15;5;1;3;[term, country, callback, version, explicit];[lang:en_us, limit:50, media:all];[];[];[];[];[]
MR45;EQUIVALENCE_EXTEND;Test-10;4;1;3;[term, limit, version, explicit];[country:US, lang:en_us, media:all];[];[];[];[];[]
MR8;EQUIVALENCE_EXTEND;Test-03;7;2;3;[term, media, entity, attribute, callback, limit, explicit];[lang:en_us];[country:US, version:2];[];[];[];[]
MR53;EQUIVALENCE_EXTEND;Test-12;6;2;3;[term, country, media, entity, callback, explicit];[version:2];[lang:en_us, limit:50];[];[];[];[]
MR37;EQUIVALENCE_EXTEND;Test-08;6;2;3;[term, country, media, entity, attribute, version];[explicit:Yes, lang:en_us];[limit:50];[];[];[];[]
MR0;DISJOINT_EXTEND;Test-01;8;5;5;[term, country:JP, media, attribute, callback, limit, lang, explicit];[country:AD];[country:AE];[country:AF];[country:AG];[country:AI];[]
MR30;EQUIVALENCE_EXTEND;Test-07;4;2;4;[term, country, callback, lang];[limit:50, version:2];[explicit:Yes, media:all];[];[];[];[]
MR5;EQUIVALENCE_EXTEND;Test-02;4;2;4;[term, media, entity, version];[explicit:Yes, lang:en_us, limit:50];[country:US];[];[];[];[]
MR48;EQUIVALENCE_EXTEND;Test-10;4;2;3;[term, limit, version, explicit];[media:all];[country:US, lang:en_us];[];[];[];[]
MR31;EQUIVALENCE_EXTEND;Test-07;4;2;4;[term, country, callback, lang];[explicit:Yes];[limit:50, media:all, version:2];[];[];[];[]
MR26;DISJOINT_EXTEND;Test-07;4;3;3;[term, country:JP, callback, lang];[country:AD];[country:AE];[country:AF];[];[];[]
MR2;EQUIVALENCE_EXTEND;Test-02;4;3;4;[term, media, entity, version];[country:US];[explicit:Yes, limit:50];[lang:en_us];[];[];[]
MR6;DISJOINT_EXTEND;Test-03;7;1;1;[term, media, entity:album, attribute, callback, limit, explicit];[entity:mix];[];[];[];[];[]
MR57;DISJOINT_EXTEND;Test-13;7;4;4;[term, country:IT, media, entity, lang, version, explicit];[country:AD];[country:AE];[country:AF];[country:AG];[];[]
MR4;EQUIVALENCE_EXTEND;Test-02;4;1;4;[term, media, entity, version];[country:US, explicit:Yes, lang:en_us, limit:50];[];[];[];[];[]
MR52;EQUIVALENCE_EXTEND;Test-12;6;3;3;[term, country, media, entity, callback, explicit];[lang:en_us];[limit:50];[version:2];[];[];[]
MR23;EQUIVALENCE_EXTEND;Test-06;7;2;2;[term, country, media, attribute, callback, limit, version];[explicit:Yes];[lang:en_us];[];[];[];[]
MR21;DISJOINT_EXTEND;Test-06;7;6;6;[term, country:IT, media, attribute, callback, limit, version];[country:AD];[country:AE];[country:AF];[country:AG];[country:AI];[country:AL]
MR56;EQUIVALENCE_EXTEND;Test-12;6;2;3;[term, country, media, entity, callback, explicit];[lang:en_us];[limit:50, version:2];[];[];[];[]
MR32;EQUIVALENCE_EXTEND;Test-07;4;1;4;[term, country, callback, lang];[explicit:Yes, limit:50, media:all, version:2];[];[];[];[];[]
MR68;EQUIVALENCE_EXTEND;Test-15;5;2;3;[term, country, callback, version, explicit];[lang:en_us, limit:50];[media:all];[];[];[];[]
MR59;EQUIVALENCE_EXTEND;Test-14;8;1;2;[term, media, entity, attribute, callback, lang, version, explicit];[country:US, limit:50];[];[];[];[];[]
MR54;EQUIVALENCE_EXTEND;Test-12;6;2;3;[term, country, media, entity, callback, explicit];[lang:en_us, version:2];[limit:50];[];[];[];[]
MR62;DISJOINT_EXTEND;Test-15;5;2;2;[term, country:IT, callback, version, explicit];[country:AD];[country:AE];[];[];[];[]
MR1;EQUIVALENCE_EXTEND;Test-01;8;1;1;[term, country, media, attribute, callback, limit, lang, explicit];[version:2];[];[];[];[];[]
MR35;EQUIVALENCE_EXTEND;Test-08;6;1;3;[term, country, media, entity, attribute, version];[explicit:Yes, lang:en_us, limit:50];[];[];[];[];[]
MR61;DISJOINT_EXTEND;Test-15;5;5;5;[term, country:IT, callback, version, explicit];[country:AD];[country:AE];[country:AF];[country:AG];[country:AI];[]
MR51;DISJOINT_EXTEND;Test-12;6;3;3;[term, country:JP, media, entity, callback, explicit];[country:AD];[country:AE];[country:AF];[];[];[]
MR65;EQUIVALENCE_EXTEND;Test-15;5;2;3;[term, country, callback, version, explicit];[media:all];[lang:en_us, limit:50];[];[];[];[]
MR9;EQUIVALENCE_EXTEND;Test-03;7;2;3;[term, media, entity, attribute, callback, limit, explicit];[lang:en_us, version:2];[country:US];[];[];[];[]
MR18;DISJOINT_EXTEND;Test-05;7;2;2;[term, country:IT, media, entity, limit, lang, explicit];[country:AD];[country:AE];[];[];[];[]
MR3;EQUIVALENCE_EXTEND;Test-02;4;2;4;[term, media, entity, version];[country:US, explicit:Yes, lang:en_us];[limit:50];[];[];[];[]
MR38;EQUIVALENCE_EXTEND;Test-08;6;2;3;[term, country, media, entity, attribute, version];[explicit:Yes, limit:50];[lang:en_us];[];[];[];[]
MR41;EQUIVALENCE_EXTEND;Test-09;5;2;3;[term, media, attribute, version, explicit];[country:US];[lang:en_us, limit:50];[];[];[];[]
MR33;EQUIVALENCE_EXTEND;Test-07;4;2;4;[term, country, callback, lang];[limit:50, media:all, version:2];[explicit:Yes];[];[];[];[]
MR25;DISJOINT_EXTEND;Test-07;4;4;4;[term, country:JP, callback, lang];[country:AD];[country:AE];[country:AF];[country:AG];[];[]
MR34;DISJOINT_EXTEND;Test-08;6;1;1;[term, country:IT, media, entity, attribute, version];[country:AD];[];[];[];[];[]
MR43;EQUIVALENCE_EXTEND;Test-09;5;3;3;[term, media, attribute, version, explicit];[lang:en_us];[limit:50];[country:US];[];[];[]
MR63;DISJOINT_EXTEND;Test-15;5;3;3;[term, country:IT, callback, version, explicit];[country:AD];[country:AE];[country:AF];[];[];[]
MR16;EQUIVALENCE_EXTEND;Test-04;7;1;1;[term, country, media, attribute, lang, version, explicit];[limit:50];[];[];[];[];[]
MR20;DISJOINT_EXTEND;Test-06;7;1;1;[term, country:IT, media, attribute, callback, limit, version];[country:AD];[];[];[];[];[]
MR46;EQUIVALENCE_EXTEND;Test-10;4;2;3;[term, limit, version, explicit];[country:US, media:all];[lang:en_us];[];[];[];[]
MR55;EQUIVALENCE_EXTEND;Test-12;6;1;3;[term, country, media, entity, callback, explicit];[lang:en_us, limit:50, version:2];[];[];[];[];[]
MR47;EQUIVALENCE_EXTEND;Test-10;4;2;3;[term, limit, version, explicit];[lang:en_us, media:all];[country:US];[];[];[];[]
MR40;EQUIVALENCE_EXTEND;Test-09;5;2;3;[term, media, attribute, version, explicit];[country:US, limit:50];[lang:en_us];[];[];[];[]
