MR;Type;STC;FUTCs;LocalDistance
MR41;CONJUNCTIVE_CONTRACT;Test-02;4;8
MR327;CONJUNCTIVE_EXTEND;Test-12;4;4
MR378;CONJUNCTIVE_CONTRACT;Test-14;4;8
MR165;DISJOINT_EXTEND;Test-06;1;1
MR81;CONJUNCTIVE_EXTEND;Test-03;3;5
MR47;CONJUNCTIVE_EXTEND;Test-02;2;4
MR237;CONJUNCTIVE_CONTRACT;Test-09;4;9
MR371;CONJUNCTIVE_CONTRACT;Test-14;2;8
MR2;CONJUNCTIVE_CONTRACT;Test-01;5;8
MR389;DISJOINT_EXTEND;Test-14;4;4
MR156;CONJUNCTIVE_CONTRACT;Test-06;2;9
MR331;DISJOINT_EXTEND;Test-12;1;1
MR325;CONJUNCTIVE_EXTEND;Test-12;2;4
MR207;CONJUNCTIVE_CONTRACT;Test-08;3;7
MR372;CONJUNCTIVE_CONTRACT;Test-14;3;8
MR355;CONJUNCTIVE_EXTEND;Test-13;3;4
MR460;CONJUNCTIVE_EXTEND;Test-17;4;4
MR423;CONJUNCTIVE_CONTRACT;Test-16;2;11
MR5;CONJUNCTIVE_CONTRACT;Test-01;1;8
MR333;DISJOINT_EXTEND;Test-12;2;2
MR248;DISJOINT_EXTEND;Test-09;1;1
MR315;CONJUNCTIVE_CONTRACT;Test-12;4;8
MR88;DISJOINT_EXTEND;Test-03;2;2
MR296;CONJUNCTIVE_CONTRACT;Test-11;4;8
MR205;CONJUNCTIVE_CONTRACT;Test-08;3;7
MR438;DISJOINT_EXTEND;Test-16;1;1
MR468;DISJOINT_EXTEND;Test-17;4;4
MR176;CONJUNCTIVE_CONTRACT;Test-07;2;8
MR96;CONJUNCTIVE_CONTRACT;Test-04;2;9
MR119;CONJUNCTIVE_CONTRACT;Test-05;3;6
MR317;CONJUNCTIVE_CONTRACT;Test-12;3;8
MR192;DISJOINT_EXTEND;Test-07;1;1
MR11;CONJUNCTIVE_EXTEND;Test-01;3;4
MR410;SHUFFLING_EXTEND;Test-15;2;2
MR136;CONJUNCTIVE_EXTEND;Test-05;1;4
MR271;CONJUNCTIVE_EXTEND;Test-10;2;5
MR179;CONJUNCTIVE_CONTRACT;Test-07;4;8
MR164;DISJOINT_EXTEND;Test-06;4;4
MR311;COMPLETE_EXTEND;Test-11;2;2
MR80;CONJUNCTIVE_EXTEND;Test-03;2;5
MR449;CONJUNCTIVE_CONTRACT;Test-17;2;8
