MR;Type;STC;FUTCs;LocalDistance
MR38;SHUFFLING_EXTEND;Test-07;1;1
MR9;COMPLETE_EXTEND;Test-02;4;4
MR15;CONJUNCTIVE_CONTRACT;Test-04;2;2
MR21;CONJUNCTIVE_CONTRACT;Test-05;1;2
MR3;SHUFFLING_CONTRACT;Test-01;1;1
MR8;SHUFFLING_EXTEND;Test-02;2;2
MR10;EQUIVALENCE_EXTEND;Test-02;1;1
MR5;CONJUNCTIVE_CONTRACT;Test-02;1;3
MR37;SHUFFLING_CONTRACT;Test-07;1;1
MR0;CONJUNCTIVE_CONTRACT;Test-01;1;1
MR28;CONJUNCTIVE_CONTRACT;Test-06;1;2
MR26;COMPLETE_EXTEND;Test-05;4;4
MR39;COMPLETE_EXTEND;Test-08;4;4
MR40;CONJUNCTIVE_CONTRACT;Test-09;2;2
MR23;CONJUNCTIVE_EXTEND;Test-05;1;1
MR14;EQUIVALENCE_EXTEND;Test-03;1;1
MR33;CONJUNCTIVE_CONTRACT;Test-07;1;1
MR20;EQUIVALENCE_EXTEND;Test-04;1;1
MR16;CONJUNCTIVE_CONTRACT;Test-04;1;2
MR1;CONJUNCTIVE_EXTEND;Test-01;1;2
MR17;CONJUNCTIVE_EXTEND;Test-04;1;1
MR19;DISJOINT_EXTEND;Test-04;2;2
MR18;SHUFFLING_EXTEND;Test-04;2;2
MR41;DISJOINT_EXTEND;Test-09;3;3
MR24;SHUFFLING_CONTRACT;Test-05;1;1
MR13;SHUFFLING_EXTEND;Test-03;1;1
MR31;SHUFFLING_EXTEND;Test-06;1;1
MR22;CONJUNCTIVE_CONTRACT;Test-05;2;2
MR11;CONJUNCTIVE_EXTEND;Test-03;1;3
MR34;CONJUNCTIVE_EXTEND;Test-07;2;2
MR36;CONJUNCTIVE_EXTEND;Test-07;1;2
MR30;SHUFFLING_CONTRACT;Test-06;1;1
MR4;SHUFFLING_EXTEND;Test-01;1;1
MR35;CONJUNCTIVE_EXTEND;Test-07;2;2
MR25;SHUFFLING_EXTEND;Test-05;1;1
MR12;CONJUNCTIVE_EXTEND;Test-03;2;3
MR32;DISJOINT_EXTEND;Test-06;2;2
MR7;CONJUNCTIVE_CONTRACT;Test-02;3;3
MR27;CONJUNCTIVE_CONTRACT;Test-06;2;2
MR2;CONJUNCTIVE_EXTEND;Test-01;2;2
MR6;CONJUNCTIVE_CONTRACT;Test-02;2;3
MR29;CONJUNCTIVE_EXTEND;Test-06;1;1
