MR;Type;STC;FUTCs;LocalDistance
MR46;CONJUNCTIVE_CONTRACT;Test-04;1;4
MR4;CONJUNCTIVE_CONTRACT;Test-01;3;5
MR59;CONJUNCTIVE_EXTEND;Test-04;2;5
MR234;CONJUNCTIVE_CONTRACT;Test-15;2;3
MR222;CONJUNCTIVE_EXTEND;Test-14;4;5
MR134;CONJUNCTIVE_CONTRACT;Test-09;2;6
MR218;CONJUNCTIVE_CONTRACT;Test-14;1;4
MR156;CONJUNCTIVE_CONTRACT;Test-10;2;5
MR254;CONJUNCTIVE_CONTRACT;Test-16;4;7
MR187;CONJUNCTIVE_CONTRACT;Test-12;2;6
MR42;CONJUNCTIVE_EXTEND;Test-03;4;6
MR211;CONJUNCTIVE_EXTEND;Test-13;1;3
MR184;CONJUNCTIVE_CONTRACT;Test-12;2;6
MR257;CONJUNCTIVE_EXTEND;Test-16;1;2
MR40;CONJUNCTIVE_EXTEND;Test-03;3;6
MR182;DISJOINT_EXTEND;Test-11;1;1
MR102;CONJUNCTIVE_EXTEND;Test-07;3;3
MR129;CONJUNCTIVE_CONTRACT;Test-09;2;6
MR5;CONJUNCTIVE_CONTRACT;Test-01;2;5
MR275;CONJUNCTIVE_EXTEND;Test-17;4;6
MR225;CONJUNCTIVE_EXTEND;Test-14;3;5
MR47;CONJUNCTIVE_CONTRACT;Test-04;3;4
MR216;CONJUNCTIVE_CONTRACT;Test-14;2;4
MR165;SHUFFLING_CONTRACT;Test-10;1;1
MR288;SHUFFLING_CONTRACT;Test-18;1;1
MR169;CONJUNCTIVE_CONTRACT;Test-11;2;7
MR127;SHUFFLING_EXTEND;Test-08;3;3
MR11;CONJUNCTIVE_EXTEND;Test-01;4;4
MR119;CONJUNCTIVE_EXTEND;Test-08;2;5
MR77;DISJOINT_EXTEND;Test-05;1;1
MR253;CONJUNCTIVE_CONTRACT;Test-16;4;7
MR231;SHUFFLING_EXTEND;Test-14;1;1
MR166;SHUFFLING_EXTEND;Test-10;1;1
MR79;CONJUNCTIVE_CONTRACT;Test-06;3;7
MR94;CONJUNCTIVE_CONTRACT;Test-07;3;6
MR136;CONJUNCTIVE_CONTRACT;Test-09;2;6
MR108;SHUFFLING_CONTRACT;Test-07;1;1
MR115;CONJUNCTIVE_CONTRACT;Test-08;3;4
MR276;CONJUNCTIVE_EXTEND;Test-17;2;6
MR61;SHUFFLING_EXTEND;Test-04;3;3
MR133;CONJUNCTIVE_CONTRACT;Test-09;4;6
MR198;DISJOINT_EXTEND;Test-12;1;1
MR111;CONJUNCTIVE_CONTRACT;Test-08;3;4
MR64;CONJUNCTIVE_CONTRACT;Test-05;3;7
MR155;CONJUNCTIVE_CONTRACT;Test-10;3;5
MR41;CONJUNCTIVE_EXTEND;Test-03;3;6
MR192;CONJUNCTIVE_EXTEND;Test-12;2;3
MR2;CONJUNCTIVE_CONTRACT;Test-01;1;5
MR251;CONJUNCTIVE_CONTRACT;Test-16;3;7
MR179;CONJUNCTIVE_EXTEND;Test-11;2;2
MR170;CONJUNCTIVE_CONTRACT;Test-11;3;7
MR162;CONJUNCTIVE_EXTEND;Test-10;2;4
MR193;CONJUNCTIVE_EXTEND;Test-12;3;3
MR34;CONJUNCTIVE_EXTEND;Test-03;4;6
MR220;CONJUNCTIVE_CONTRACT;Test-14;2;4
MR206;CONJUNCTIVE_CONTRACT;Test-13;4;6
MR44;SHUFFLING_EXTEND;Test-03;4;4
MR255;CONJUNCTIVE_CONTRACT;Test-16;1;7
MR194;CONJUNCTIVE_EXTEND;Test-12;2;3
MR242;CONJUNCTIVE_EXTEND;Test-15;3;6
MR28;CONJUNCTIVE_CONTRACT;Test-03;2;3
MR175;CONJUNCTIVE_CONTRACT;Test-11;2;7
MR110;DISJOINT_EXTEND;Test-07;1;1
MR3;CONJUNCTIVE_CONTRACT;Test-01;3;5
MR204;CONJUNCTIVE_CONTRACT;Test-13;1;6
MR201;CONJUNCTIVE_CONTRACT;Test-13;3;6
MR91;SHUFFLING_EXTEND;Test-06;5;5
MR83;CONJUNCTIVE_CONTRACT;Test-06;5;7
MR238;CONJUNCTIVE_EXTEND;Test-15;1;6
MR17;CONJUNCTIVE_CONTRACT;Test-02;2;9
MR153;CONJUNCTIVE_CONTRACT;Test-10;3;5
MR221;CONJUNCTIVE_EXTEND;Test-14;5;5
MR73;CONJUNCTIVE_EXTEND;Test-05;1;2
MR103;CONJUNCTIVE_EXTEND;Test-07;1;3
MR227;CONJUNCTIVE_EXTEND;Test-14;3;5
MR171;CONJUNCTIVE_CONTRACT;Test-11;4;7
MR200;CONJUNCTIVE_CONTRACT;Test-13;4;6
MR191;CONJUNCTIVE_EXTEND;Test-12;2;3
MR84;CONJUNCTIVE_CONTRACT;Test-06;2;7
MR39;CONJUNCTIVE_EXTEND;Test-03;4;6
MR53;CONJUNCTIVE_CONTRACT;Test-04;3;4
MR92;DISJOINT_EXTEND;Test-06;1;1
MR141;CONJUNCTIVE_EXTEND;Test-09;2;3
MR95;CONJUNCTIVE_CONTRACT;Test-07;2;6
MR164;CONJUNCTIVE_EXTEND;Test-10;3;4
MR196;SHUFFLING_CONTRACT;Test-12;1;1
MR279;COMPLETE_EXTEND;Test-17;2;2
MR244;CONJUNCTIVE_EXTEND;Test-15;2;6
MR105;CONJUNCTIVE_EXTEND;Test-07;2;3
MR36;CONJUNCTIVE_EXTEND;Test-03;2;6
MR172;CONJUNCTIVE_CONTRACT;Test-11;2;7
MR283;CONJUNCTIVE_CONTRACT;Test-18;3;8
MR185;CONJUNCTIVE_CONTRACT;Test-12;5;6
MR186;CONJUNCTIVE_CONTRACT;Test-12;4;6
MR249;CONJUNCTIVE_CONTRACT;Test-16;2;7
MR199;CONJUNCTIVE_CONTRACT;Test-13;2;6
MR241;CONJUNCTIVE_EXTEND;Test-15;2;6
MR37;CONJUNCTIVE_EXTEND;Test-03;1;6
MR277;SHUFFLING_CONTRACT;Test-17;1;1
MR189;CONJUNCTIVE_CONTRACT;Test-12;3;6
MR86;CONJUNCTIVE_CONTRACT;Test-06;2;7
MR66;CONJUNCTIVE_CONTRACT;Test-05;2;7
