MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;STC;FUTC_1;FUTC_2;FUTC_3;FUTC_4;FUTC_5;FUTC_6
MR155;CONJUNCTIVE_EXTEND;Test-10;7;3;4;[reference, delivery, customer, total, payment, status, order];[from, to];[new_client];[id];[];[];[]
MR85;CONJUNCTIVE_CONTRACT;Test-06;9;2;7;[reference, new_client, customer, total, payment, status, from, to, order];[customer, new_client, reference, status, to, total];[from];[];[];[];[]
MR89;SHUFFLING_CONTRACT;Test-06;9;1;1;[reference, new_client, customer, total, payment, status, from, to, order];[order];[];[];[];[];[]
MR279;CONJUNCTIVE_CONTRACT;Test-18;10;4;8;[id, reference, new_client, delivery, customer, total, payment, status, to, order];[customer, id, to];[delivery];[reference, status, total];[new_client];[];[]
MR228;COMPLETE_EXTEND;Test-14;5;2;2;[reference, delivery, status, to, order];[new_client:yes];[new_client:no];[];[];[];[]
MR55;CONJUNCTIVE_EXTEND;Test-04;5;2;5;[id, total, status, to, order];[customer, delivery, from, new_client];[reference];[];[];[];[]
MR37;CONJUNCTIVE_EXTEND;Test-03;4;1;6;[delivery, customer, from, order];[id, new_client, reference, status, to, total];[];[];[];[];[]
MR147;CONJUNCTIVE_CONTRACT;Test-10;7;3;5;[reference, delivery, customer, total, payment, status, order];[reference, status, total];[customer];[delivery];[];[];[]
MR205;CONJUNCTIVE_EXTEND;Test-13;7;2;3;[id, reference, new_client, customer, total, status, order];[delivery];[from, to];[];[];[];[]
MR45;COMPLETE_EXTEND;Test-03;4;2;2;[delivery, customer, from, order];[new_client:yes];[new_client:no];[];[];[];[]
MR5;CONJUNCTIVE_CONTRACT;Test-01;7;2;5;[id, reference, new_client, total, payment, status, order];[new_client];[id, reference, status, total];[];[];[];[]
MR72;CONJUNCTIVE_EXTEND;Test-05;9;1;2;[reference, new_client, delivery, customer, payment, status, from, to, order];[id, total];[];[];[];[];[]
MR119;CONJUNCTIVE_EXTEND;Test-08;5;3;5;[id, new_client, delivery, status, order];[from];[reference, to, total];[customer];[];[];[]
MR200;CONJUNCTIVE_CONTRACT;Test-13;7;2;6;[id, reference, new_client, customer, total, status, order];[customer, id, new_client, reference, status];[total];[];[];[];[]
MR207;CONJUNCTIVE_EXTEND;Test-13;7;3;3;[id, reference, new_client, customer, total, status, order];[delivery];[from];[to];[];[];[]
MR80;CONJUNCTIVE_CONTRACT;Test-06;9;3;7;[reference, new_client, customer, total, payment, status, from, to, order];[from, new_client, total];[customer, status];[reference, to];[];[];[]
MR141;SHUFFLING_CONTRACT;Test-09;8;1;1;[id, reference, delivery, customer, total, payment, status, order];[order];[];[];[];[];[]
MR158;CONJUNCTIVE_EXTEND;Test-10;7;2;4;[reference, delivery, customer, total, payment, status, order];[from, new_client, to];[id];[];[];[];[]
MR231;CONJUNCTIVE_CONTRACT;Test-15;5;1;3;[id, reference, payment, status, order];[id, reference, status];[];[];[];[];[]
MR196;CONJUNCTIVE_CONTRACT;Test-13;7;2;6;[id, reference, new_client, customer, total, status, order];[id, new_client, reference, status, total];[customer];[];[];[];[]
MR34;CONJUNCTIVE_CONTRACT;Test-03;4;1;3;[delivery, customer, from, order];[customer, delivery, from];[];[];[];[];[]
MR73;CONJUNCTIVE_EXTEND;Test-05;9;2;2;[reference, new_client, delivery, customer, payment, status, from, to, order];[id];[total];[];[];[];[]
MR215;CONJUNCTIVE_CONTRACT;Test-14;5;2;4;[reference, delivery, status, to, order];[delivery, status];[reference, to];[];[];[];[]
MR15;CONJUNCTIVE_EXTEND;Test-01;7;2;4;[id, reference, new_client, total, payment, status, order];[customer, delivery, to];[from];[];[];[];[]
MR245;SHUFFLING_EXTEND;Test-15;5;1;1;[id, reference, payment, status, order:id descending];[order:id ascending];[];[];[];[];[]
MR132;CONJUNCTIVE_CONTRACT;Test-09;8;3;6;[id, reference, delivery, customer, total, payment, status, order];[delivery, status, total];[customer, id];[reference];[];[];[]
MR219;CONJUNCTIVE_EXTEND;Test-14;5;2;5;[reference, delivery, status, to, order];[customer];[from, id, new_client, total];[];[];[];[]
MR189;CONJUNCTIVE_EXTEND;Test-12;8;1;3;[id, new_client, customer, total, payment, from, to, order];[delivery, reference, status];[];[];[];[];[]
MR8;CONJUNCTIVE_EXTEND;Test-01;7;2;4;[id, reference, new_client, total, payment, status, order];[from];[customer, delivery, to];[];[];[];[]
MR268;CONJUNCTIVE_EXTEND;Test-17;5;3;6;[reference, delivery, total, payment, order];[to];[from, new_client];[customer, id, status];[];[];[]
MR214;CONJUNCTIVE_CONTRACT;Test-14;5;3;4;[reference, delivery, status, to, order];[delivery, status];[reference];[to];[];[];[]
MR97;CONJUNCTIVE_CONTRACT;Test-07;8;2;6;[id, reference, new_client, delivery, customer, total, payment, order];[customer, delivery, new_client, total];[id, reference];[];[];[];[]
MR242;CONJUNCTIVE_EXTEND;Test-15;5;2;6;[id, reference, payment, status, order];[delivery, new_client, to, total];[customer, from];[];[];[];[]
MR212;CONJUNCTIVE_CONTRACT;Test-14;5;2;4;[reference, delivery, status, to, order];[delivery, reference, status];[to];[];[];[];[]
MR99;CONJUNCTIVE_CONTRACT;Test-07;8;2;6;[id, reference, new_client, delivery, customer, total, payment, order];[customer, new_client, reference, total];[delivery, id];[];[];[];[]
MR257;SHUFFLING_CONTRACT;Test-16;9;1;1;[id, new_client, delivery, customer, total, payment, status, to, order];[order];[];[];[];[];[]
MR243;CONJUNCTIVE_EXTEND;Test-15;5;3;6;[id, reference, payment, status, order];[customer, from, new_client];[delivery, to];[total];[];[];[]
MR16;SHUFFLING_CONTRACT;Test-01;7;1;1;[id, reference, new_client, total, payment, status, order];[order];[];[];[];[];[]
MR184;CONJUNCTIVE_CONTRACT;Test-12;8;2;6;[id, new_client, customer, total, payment, from, to, order];[customer, from, total];[id, new_client, to];[];[];[];[]
MR10;CONJUNCTIVE_EXTEND;Test-01;7;4;4;[id, reference, new_client, total, payment, status, order];[customer];[delivery];[from];[to];[];[]
MR96;CONJUNCTIVE_CONTRACT;Test-07;8;2;6;[id, reference, new_client, delivery, customer, total, payment, order];[delivery];[customer, id, new_client, reference, total];[];[];[];[]
MR138;CONJUNCTIVE_EXTEND;Test-09;8;2;3;[id, reference, delivery, customer, total, payment, status, order];[from, new_client];[to];[];[];[];[]
MR130;CONJUNCTIVE_CONTRACT;Test-09;8;4;6;[id, reference, delivery, customer, total, payment, status, order];[delivery, reference, total];[customer];[status];[id];[];[]
MR65;CONJUNCTIVE_CONTRACT;Test-05;9;5;7;[reference, new_client, delivery, customer, payment, status, from, to, order];[delivery];[customer, reference];[from, new_client];[status];[to];[]
MR171;CONJUNCTIVE_EXTEND;Test-11;9;1;2;[id, reference, new_client, delivery, payment, status, from, to, order];[customer, total];[];[];[];[];[]
MR27;SHUFFLING_CONTRACT;Test-02;11;1;1;[id, reference, new_client, delivery, customer, total, payment, status, from, to, order];[order];[];[];[];[];[]
MR18;DISJOINT_EXTEND;Test-01;7;1;1;[id, reference, new_client:yes, total, payment, status, order];[new_client:no];[];[];[];[];[]
MR98;CONJUNCTIVE_CONTRACT;Test-07;8;3;6;[id, reference, new_client, delivery, customer, total, payment, order];[customer, reference, total];[id, new_client];[delivery];[];[];[]
MR48;CONJUNCTIVE_CONTRACT;Test-04;5;2;4;[id, total, status, to, order];[id, status, to];[total];[];[];[];[]
MR40;CONJUNCTIVE_EXTEND;Test-03;4;4;6;[delivery, customer, from, order];[to, total];[new_client, reference];[id];[status];[];[]
MR102;CONJUNCTIVE_EXTEND;Test-07;8;2;3;[id, reference, new_client, delivery, customer, total, payment, order];[from, to];[status];[];[];[];[]
MR38;CONJUNCTIVE_EXTEND;Test-03;4;2;6;[delivery, customer, from, order];[id, new_client, reference, status, to];[total];[];[];[];[]
MR217;CONJUNCTIVE_CONTRACT;Test-14;5;3;4;[reference, delivery, status, to, order];[delivery];[reference, to];[status];[];[];[]
MR273;SHUFFLING_CONTRACT;Test-17;5;1;1;[reference, delivery, total, payment, order];[order];[];[];[];[];[]
MR124;SHUFFLING_CONTRACT;Test-08;5;1;1;[id, new_client, delivery, status, order];[order];[];[];[];[];[]
MR226;SHUFFLING_CONTRACT;Test-14;5;1;1;[reference, delivery, status, to, order];[order];[];[];[];[];[]
MR191;CONJUNCTIVE_EXTEND;Test-12;8;2;3;[id, new_client, customer, total, payment, from, to, order];[delivery, reference];[status];[];[];[];[]
MR81;CONJUNCTIVE_CONTRACT;Test-06;9;5;7;[reference, new_client, customer, total, payment, status, from, to, order];[total];[from, new_client, reference];[customer];[status];[to];[]
MR47;CONJUNCTIVE_CONTRACT;Test-04;5;2;4;[id, total, status, to, order];[status, to, total];[id];[];[];[];[]
MR29;DISJOINT_EXTEND;Test-02;11;1;1;[id, reference, new_client:no, delivery, customer, total, payment, status, from, to, order];[new_client:yes];[];[];[];[];[]
MR166;CONJUNCTIVE_CONTRACT;Test-11;9;5;7;[id, reference, new_client, delivery, payment, status, from, to, order];[to];[delivery, from];[id, status];[reference];[new_client];[]
MR206;CONJUNCTIVE_EXTEND;Test-13;7;2;3;[id, reference, new_client, customer, total, status, order];[from, to];[delivery];[];[];[];[]
MR278;CONJUNCTIVE_CONTRACT;Test-18;10;3;8;[id, reference, new_client, delivery, customer, total, payment, status, to, order];[id];[customer, new_client, status];[delivery, reference, to, total];[];[];[]
MR177;CONJUNCTIVE_CONTRACT;Test-12;8;2;6;[id, new_client, customer, total, payment, from, to, order];[customer, id, new_client, to, total];[from];[];[];[];[]
MR0;CONJUNCTIVE_CONTRACT;Test-01;7;1;5;[id, reference, new_client, total, payment, status, order];[id, new_client, reference, status, total];[];[];[];[];[]
MR209;SHUFFLING_CONTRACT;Test-13;7;1;1;[id, reference, new_client, customer, total, status, order];[order];[];[];[];[];[]
MR148;CONJUNCTIVE_CONTRACT;Test-10;7;2;5;[reference, delivery, customer, total, payment, status, order];[customer, delivery, status, total];[reference];[];[];[];[]
MR275;COMPLETE_EXTEND;Test-17;5;2;2;[reference, delivery, total, payment, order];[new_client:yes];[new_client:no];[];[];[];[]
