MR;Type;STC;FUTCs;LocalDistance
MR6;DISJUNCTIVE_CONTRACT;Test-05;1;1
MR3;DISJUNCTIVE_CONTRACT;Test-03;1;1
MR0;CONJUNCTIVE_CONTRACT;Test-02;1;1
MR13;CONJUNCTIVE_CONTRACT;Test-11;1;1
MR15;DISJUNCTIVE_EXTEND;Test-11;1;2
MR7;DISJUNCTIVE_EXTEND;Test-05;1;1
MR14;DISJUNCTIVE_EXTEND;Test-11;2;2
MR10;DISJUNCTIVE_EXTEND;Test-07;1;2
MR2;CONJUNCTIVE_EXTEND;Test-03;1;1
MR9;DISJUNCTIVE_EXTEND;Test-07;2;2
MR4;DISJUNCTIVE_EXTEND;Test-03;1;1
MR12;DISJUNCTIVE_CONTRACT;Test-09;2;2
MR11;CONJUNCTIVE_EXTEND;Test-09;1;1
MR5;CONJUNCTIVE_CONTRACT;Test-05;1;1
MR16;DISJUNCTIVE_CONTRACT;Test-12;1;2
MR1;DISJUNCTIVE_CONTRACT;Test-02;1;2
MR8;CONJUNCTIVE_EXTEND;Test-07;1;1
