MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;STC;FUTC_1;FUTC_2;FUTC_3;FUTC_4;FUTC_5;FUTC_6
MR11;DISJUNCTIVE_EXTEND;Test-07;8;2;2;[trip_type, from, to, depart, return, cabin_class, adults, children];[to_nearby_airports];[from_nearby_airports];[];[];[];[]
MR14;CONJUNCTIVE_CONTRACT;Test-11;8;1;1;[trip_type, from, to, depart, cabin_class, adults, children, non_stop_flights_only];[non_stop_flights_only];[];[];[];[];[]
MR16;DISJUNCTIVE_CONTRACT;Test-12;9;2;2;[trip_type, from, to, from_nearby_airports, to_nearby_airports, depart, cabin_class, adults, children];[from_nearby_airports];[to_nearby_airports];[];[];[];[]
MR8;DISJUNCTIVE_EXTEND;Test-05;10;1;1;[trip_type, from, to, to_nearby_airports, depart, return, cabin_class, adults, children, non_stop_flights_only];[from_nearby_airports];[];[];[];[];[]
MR13;DISJUNCTIVE_CONTRACT;Test-09;9;1;2;[trip_type, from, to, from_nearby_airports, to_nearby_airports, depart, cabin_class, adults, children];[from_nearby_airports, to_nearby_airports];[];[];[];[];[]
MR7;DISJUNCTIVE_CONTRACT;Test-05;10;1;1;[trip_type, from, to, to_nearby_airports, depart, return, cabin_class, adults, children, non_stop_flights_only];[to_nearby_airports];[];[];[];[];[]
MR5;DISJUNCTIVE_EXTEND;Test-03;8;1;1;[trip_type, from, to, from_nearby_airports, depart, cabin_class, adults, children];[to_nearby_airports];[];[];[];[];[]
MR0;CONJUNCTIVE_CONTRACT;Test-02;11;1;1;[trip_type, from, to, from_nearby_airports, to_nearby_airports, depart, return, cabin_class, adults, children, non_stop_flights_only];[non_stop_flights_only];[];[];[];[];[]
MR1;DISJUNCTIVE_CONTRACT;Test-02;11;1;2;[trip_type, from, to, from_nearby_airports, to_nearby_airports, depart, return, cabin_class, adults, children, non_stop_flights_only];[from_nearby_airports, to_nearby_airports];[];[];[];[];[]
MR9;CONJUNCTIVE_EXTEND;Test-07;8;1;1;[trip_type, from, to, depart, return, cabin_class, adults, children];[non_stop_flights_only];[];[];[];[];[]
MR10;DISJUNCTIVE_EXTEND;Test-07;8;1;2;[trip_type, from, to, depart, return, cabin_class, adults, children];[from_nearby_airports, to_nearby_airports];[];[];[];[];[]
MR6;CONJUNCTIVE_CONTRACT;Test-05;10;1;1;[trip_type, from, to, to_nearby_airports, depart, return, cabin_class, adults, children, non_stop_flights_only];[non_stop_flights_only];[];[];[];[];[]
MR2;DISJUNCTIVE_CONTRACT;Test-02;11;2;2;[trip_type, from, to, from_nearby_airports, to_nearby_airports, depart, return, cabin_class, adults, children, non_stop_flights_only];[from_nearby_airports];[to_nearby_airports];[];[];[];[]
MR15;DISJUNCTIVE_EXTEND;Test-11;8;2;2;[trip_type, from, to, depart, cabin_class, adults, children, non_stop_flights_only];[to_nearby_airports];[from_nearby_airports];[];[];[];[]
MR12;CONJUNCTIVE_EXTEND;Test-09;9;1;1;[trip_type, from, to, from_nearby_airports, to_nearby_airports, depart, cabin_class, adults, children];[non_stop_flights_only];[];[];[];[];[]
MR4;DISJUNCTIVE_CONTRACT;Test-03;8;1;1;[trip_type, from, to, from_nearby_airports, depart, cabin_class, adults, children];[from_nearby_airports];[];[];[];[];[]
MR3;CONJUNCTIVE_EXTEND;Test-03;8;1;1;[trip_type, from, to, from_nearby_airports, depart, cabin_class, adults, children];[non_stop_flights_only];[];[];[];[];[]
