MR;Type;STC;FUTCs;LocalDistance
MR12;CONJUNCTIVE_CONTRACT;Test-05;2;3
MR19;CONJUNCTIVE_EXTEND;Test-08;1;1
MR20;CONJUNCTIVE_CONTRACT;Test-09;2;2
MR9;CONJUNCTIVE_EXTEND;Test-04;2;3
MR22;DISJOINT_EXTEND;Test-10;3;3
MR1;CONJUNCTIVE_CONTRACT;Test-01;1;2
MR16;CONJUNCTIVE_CONTRACT;Test-07;1;3
MR21;CONJUNCTIVE_CONTRACT;Test-10;2;3
MR17;DISJOINT_EXTEND;Test-07;6;6
MR11;COMPLETE_EXTEND;Test-04;4;4
MR8;DISJOINT_EXTEND;Test-03;3;3
MR7;DISJOINT_EXTEND;Test-02;3;3
MR2;CONJUNCTIVE_EXTEND;Test-01;1;1
MR4;COMPLETE_EXTEND;Test-01;4;4
MR18;CONJUNCTIVE_CONTRACT;Test-08;1;2
MR15;DISJOINT_EXTEND;Test-06;4;4
MR3;DISJOINT_EXTEND;Test-01;5;5
MR14;DISJOINT_EXTEND;Test-05;4;4
MR0;CONJUNCTIVE_CONTRACT;Test-01;2;2
MR5;CONJUNCTIVE_CONTRACT;Test-02;1;2
MR13;CONJUNCTIVE_CONTRACT;Test-05;2;3
MR10;CONJUNCTIVE_EXTEND;Test-04;1;3
MR6;CONJUNCTIVE_EXTEND;Test-02;1;1
