MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;source_parameters_list;added_parameters_futc_1;removed_parameters_futc_1;changed_parameters_futc_1;added_parameters_futc_2;removed_parameters_futc_2;changed_parameters_futc_2;added_parameters_futc_3;removed_parameters_futc_3;changed_parameters_futc_3;added_parameters_futc_4;removed_parameters_futc_4;changed_parameters_futc_4;added_parameters_futc_5;removed_parameters_futc_5;changed_parameters_futc_5;added_parameters_futc_6;removed_parameters_futc_6;changed_parameters_futc_6
MR1;CONJUNCTIVE_CONTRACT;Test-01;3;1;2;[search, uploadDate, language];[];[language, uploadDate];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR0;CONJUNCTIVE_CONTRACT;Test-01;3;2;2;[search, uploadDate, language];[];[uploadDate];[];[];[language];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR20;CONJUNCTIVE_CONTRACT;Test-08;3;2;2;[search, uploadDate, fileTypes];[];[uploadDate];[];[];[fileTypes];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR12;CONJUNCTIVE_EXTEND;Test-04;1;3;3;[search];[language];[];[];[uploadDate];[];[];[fileTypes];[];[];[];[];[];[];[];[];[];[];[]
MR21;CONJUNCTIVE_CONTRACT;Test-08;3;1;2;[search, uploadDate, fileTypes];[];[fileTypes, uploadDate];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR10;CONJUNCTIVE_EXTEND;Test-04;1;2;3;[search];[fileTypes, uploadDate];[];[];[language];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR18;CONJUNCTIVE_CONTRACT;Test-07;4;2;3;[search, uploadDate, fileTypes, language];[];[language, uploadDate];[];[];[fileTypes];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR2;CONJUNCTIVE_EXTEND;Test-01;3;1;1;[search, uploadDate, language];[fileTypes];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR8;DISJOINT_EXTEND;Test-02;3;2;2;[search, fileTypes, language:Spanish];[];[];[language:English];[];[];[language:Portuguese];[];[];[];[];[];[];[];[];[];[];[];[]
MR3;DISJOINT_EXTEND;Test-01;3;5;5;[search, uploadDate, language:English];[];[];[language:Spanish];[];[];[language:Portuguese];[];[];[language:French];[];[];[language:Italian];[];[];[language:Dutch];[];[];[]
MR5;CONJUNCTIVE_CONTRACT;Test-02;3;1;2;[search, fileTypes, language];[];[fileTypes, language];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR24;DISJOINT_EXTEND;Test-10;4;4;4;[search, uploadDate, fileTypes, language:Spanish];[];[];[language:English];[];[];[language:Portuguese];[];[];[language:French];[];[];[language:Italian];[];[];[];[];[];[]
MR6;CONJUNCTIVE_CONTRACT;Test-02;3;2;2;[search, fileTypes, language];[];[fileTypes];[];[];[language];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR19;DISJOINT_EXTEND;Test-07;4;3;3;[search, uploadDate, fileTypes, language:English];[];[];[language:Spanish];[];[];[language:Portuguese];[];[];[language:French];[];[];[];[];[];[];[];[];[]
MR7;CONJUNCTIVE_EXTEND;Test-02;3;1;1;[search, fileTypes, language];[uploadDate];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR11;CONJUNCTIVE_EXTEND;Test-04;1;2;3;[search];[fileTypes];[];[];[language, uploadDate];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR14;CONJUNCTIVE_CONTRACT;Test-05;4;1;3;[search, uploadDate, fileTypes, language];[];[fileTypes, language, uploadDate];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR16;DISJOINT_EXTEND;Test-05;4;5;5;[search, uploadDate, fileTypes, language:Spanish];[];[];[language:English];[];[];[language:Portuguese];[];[];[language:French];[];[];[language:Italian];[];[];[language:Dutch];[];[];[]
MR22;CONJUNCTIVE_EXTEND;Test-08;3;1;1;[search, uploadDate, fileTypes];[language];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR15;CONJUNCTIVE_CONTRACT;Test-05;4;2;3;[search, uploadDate, fileTypes, language];[];[fileTypes, uploadDate];[];[];[language];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR23;CONJUNCTIVE_CONTRACT;Test-10;4;3;3;[search, uploadDate, fileTypes, language];[];[uploadDate];[];[];[fileTypes];[];[];[language];[];[];[];[];[];[];[];[];[];[]
MR4;COMPLETE_EXTEND;Test-01;3;4;4;[search, uploadDate, language];[fileTypes:presentations];[];[];[];[];[fileTypes:documents];[];[];[fileTypes:videos];[];[];[fileTypes:infographics];[];[];[];[];[];[]
MR13;COMPLETE_EXTEND;Test-04;1;4;4;[search];[fileTypes:presentations];[];[];[];[];[fileTypes:documents];[];[];[fileTypes:videos];[];[];[fileTypes:infographics];[];[];[];[];[];[]
MR17;DISJOINT_EXTEND;Test-06;3;6;6;[search, uploadDate, language:Spanish];[];[];[language:English];[];[];[language:Portuguese];[];[];[language:French];[];[];[language:Italian];[];[];[language:Dutch];[];[];[language:German]
MR9;DISJOINT_EXTEND;Test-03;3;5;5;[search, fileTypes, language:English];[];[];[language:Spanish];[];[];[language:Portuguese];[];[];[language:French];[];[];[language:Italian];[];[];[language:Dutch];[];[];[]
