MR;Type;STC;FUTCs;LocalDistance
MR372;CONJUNCTIVE_CONTRACT;Test-17;2;5
MR297;DISJOINT_EXTEND;Test-13;4;4
MR140;CONJUNCTIVE_CONTRACT;Test-07;1;6
MR8;CONJUNCTIVE_CONTRACT;Test-01;3;6
MR365;SHUFFLING_EXTEND;Test-16;3;3
MR373;CONJUNCTIVE_CONTRACT;Test-17;3;5
MR224;CONJUNCTIVE_EXTEND;Test-10;2;5
MR57;CONJUNCTIVE_CONTRACT;Test-03;1;10
MR223;CONJUNCTIVE_EXTEND;Test-10;2;5
MR205;CONJUNCTIVE_CONTRACT;Test-10;4;7
MR107;CONJUNCTIVE_EXTEND;Test-05;1;6
MR366;DISJOINT_EXTEND;Test-16;6;6
MR274;CONJUNCTIVE_CONTRACT;Test-13;3;7
MR34;CONJUNCTIVE_CONTRACT;Test-02;2;6
MR52;CONJUNCTIVE_CONTRACT;Test-03;4;10
MR156;CONJUNCTIVE_EXTEND;Test-07;2;6
MR175;CONJUNCTIVE_EXTEND;Test-08;1;3
MR266;CONJUNCTIVE_EXTEND;Test-12;3;5
MR60;CONJUNCTIVE_CONTRACT;Test-03;5;10
MR330;CONJUNCTIVE_CONTRACT;Test-15;2;6
MR347;CONJUNCTIVE_CONTRACT;Test-16;2;9
MR192;CONJUNCTIVE_CONTRACT;Test-09;3;7
MR253;CONJUNCTIVE_CONTRACT;Test-12;2;7
MR327;CONJUNCTIVE_CONTRACT;Test-15;2;6
MR328;CONJUNCTIVE_CONTRACT;Test-15;3;6
MR236;CONJUNCTIVE_CONTRACT;Test-11;3;8
MR273;CONJUNCTIVE_CONTRACT;Test-13;2;7
MR42;CONJUNCTIVE_EXTEND;Test-02;4;6
MR120;CONJUNCTIVE_CONTRACT;Test-06;3;8
MR24;CONJUNCTIVE_CONTRACT;Test-02;2;6
MR317;CONJUNCTIVE_EXTEND;Test-14;3;5
MR375;CONJUNCTIVE_CONTRACT;Test-17;3;5
MR169;CONJUNCTIVE_CONTRACT;Test-08;4;9
MR228;CONJUNCTIVE_CONTRACT;Test-11;3;8
