MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;source_parameters_list;added_parameters_futc_1;removed_parameters_futc_1;changed_parameters_futc_1;added_parameters_futc_2;removed_parameters_futc_2;changed_parameters_futc_2;added_parameters_futc_3;removed_parameters_futc_3;changed_parameters_futc_3;added_parameters_futc_4;removed_parameters_futc_4;changed_parameters_futc_4;added_parameters_futc_5;removed_parameters_futc_5;changed_parameters_futc_5;added_parameters_futc_6;removed_parameters_futc_6;changed_parameters_futc_6
MR80;CONJUNCTIVE_EXTEND;Test-04;6;5;8;[sortBy, price, specialOffers, tag, numberOfPlayers, feature];[vrSupport];[];[];[language, os, playArea, selectedTypes];[];[];[headsets];[];[];[input];[];[];[term];[];[];[];[];[]
MR21;CONJUNCTIVE_EXTEND;Test-01;8;2;6;[term, sortBy, price, specialOffers, feature, vrSupport, headsets, language];[input, numberOfPlayers, playArea];[];[];[os, selectedTypes, tag];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR137;CONJUNCTIVE_CONTRACT;Test-07;7;2;6;[term, price, specialOffers, tag, selectedTypes, feature, language];[];[feature, language, selectedTypes, tag, term];[];[];[price];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR78;CONJUNCTIVE_EXTEND;Test-04;6;6;8;[sortBy, price, specialOffers, tag, numberOfPlayers, feature];[headsets, selectedTypes, term];[];[];[input];[];[];[vrSupport];[];[];[os];[];[];[playArea];[];[];[language];[];[]
MR116;CONJUNCTIVE_CONTRACT;Test-06;10;3;8;[term, sortBy, price, specialOffers, numberOfPlayers, feature, headsets, input, playArea, os];[];[headsets, numberOfPlayers, term];[];[];[playArea];[];[];[feature, input, os, price];[];[];[];[];[];[];[];[];[];[]
MR214;CONJUNCTIVE_CONTRACT;Test-10;9;3;7;[term, sortBy, specialOffers, tag, numberOfPlayers, vrSupport, headsets, input, language];[];[input, language, tag, vrSupport];[];[];[numberOfPlayers, term];[];[];[headsets];[];[];[];[];[];[];[];[];[];[]
MR60;CONJUNCTIVE_EXTEND;Test-03;11;1;2;[term, specialOffers, tag, selectedTypes, numberOfPlayers, feature, vrSupport, headsets, input, playArea, language];[os, price];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR379;CONJUNCTIVE_EXTEND;Test-17;6;2;7;[term, specialOffers, feature, vrSupport, os, language];[headsets, input, numberOfPlayers, playArea, selectedTypes, tag];[];[];[price];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR186;CONJUNCTIVE_CONTRACT;Test-09;9;5;7;[term, sortBy, price, specialOffers, tag, selectedTypes, input, playArea, os];[];[input, selectedTypes];[];[];[playArea];[];[];[os, price];[];[];[tag];[];[];[term];[];[];[];[]
MR22;SHUFFLING_CONTRACT;Test-01;8;1;1;[term, sortBy, price, specialOffers, feature, vrSupport, headsets, language];[];[sortBy];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
