MR;Type;STC;FUTCs;LocalDistance
MR46;CONJUNCTIVE_CONTRACT;Test-02;4;12
MR473;CONJUNCTIVE_EXTEND;Test-16;2;6
MR394;CONJUNCTIVE_CONTRACT;Test-14;5;10
MR36;CONJUNCTIVE_CONTRACT;Test-02;4;12
MR389;EQUIVALENCE_EXTEND;Test-13;2;3
MR104;CONJUNCTIVE_EXTEND;Test-04;2;6
MR460;CONJUNCTIVE_CONTRACT;Test-16;3;9
MR566;CONJUNCTIVE_CONTRACT;Test-20;4;12
MR260;CONJUNCTIVE_EXTEND;Test-09;3;5
MR277;CONJUNCTIVE_CONTRACT;Test-10;2;9
MR89;CONJUNCTIVE_CONTRACT;Test-04;4;9
MR446;DISJOINT_EXTEND;Test-15;4;4
MR59;CONJUNCTIVE_CONTRACT;Test-03;3;9
MR359;CONJUNCTIVE_CONTRACT;Test-13;2;10
MR10;CONJUNCTIVE_CONTRACT;Test-01;2;10
MR239;CONJUNCTIVE_EXTEND;Test-08;2;5
MR369;CONJUNCTIVE_CONTRACT;Test-13;2;10
MR14;CONJUNCTIVE_CONTRACT;Test-01;2;10
MR107;CONJUNCTIVE_EXTEND;Test-04;2;6
MR450;EQUIVALENCE_EXTEND;Test-15;2;2
MR72;CONJUNCTIVE_EXTEND;Test-03;2;6
MR249;CONJUNCTIVE_CONTRACT;Test-09;5;10
MR100;CONJUNCTIVE_EXTEND;Test-04;3;6
MR161;CONJUNCTIVE_CONTRACT;Test-06;1;10
MR457;CONJUNCTIVE_CONTRACT;Test-16;3;9
MR110;CONJUNCTIVE_EXTEND;Test-04;1;6
MR166;CONJUNCTIVE_EXTEND;Test-06;3;5
MR211;DISJOINT_EXTEND;Test-07;3;3
MR168;CONJUNCTIVE_EXTEND;Test-06;2;5
MR71;CONJUNCTIVE_EXTEND;Test-03;2;6
MR341;CONJUNCTIVE_CONTRACT;Test-12;4;13
MR0;CONJUNCTIVE_CONTRACT;Test-01;3;10
MR93;CONJUNCTIVE_CONTRACT;Test-04;2;9
MR371;CONJUNCTIVE_EXTEND;Test-13;2;5
MR43;CONJUNCTIVE_CONTRACT;Test-02;3;12
MR335;DISJOINT_EXTEND;Test-11;4;4
MR294;CONJUNCTIVE_EXTEND;Test-10;4;6
MR63;CONJUNCTIVE_CONTRACT;Test-03;4;9
MR386;DISJOINT_EXTEND;Test-13;1;1
MR30;EQUIVALENCE_EXTEND;Test-01;2;3
MR120;CONJUNCTIVE_CONTRACT;Test-05;2;8
MR467;CONJUNCTIVE_EXTEND;Test-16;3;6
MR150;CONJUNCTIVE_CONTRACT;Test-06;2;10
MR324;CONJUNCTIVE_EXTEND;Test-11;1;6
MR533;CONJUNCTIVE_EXTEND;Test-18;1;5
MR203;CONJUNCTIVE_EXTEND;Test-07;3;6
MR222;CONJUNCTIVE_CONTRACT;Test-08;3;10
MR288;CONJUNCTIVE_CONTRACT;Test-10;3;9
MR268;CONJUNCTIVE_EXTEND;Test-09;1;5
MR252;CONJUNCTIVE_CONTRACT;Test-09;3;10
MR354;DISJOINT_EXTEND;Test-12;3;3
MR514;EQUIVALENCE_EXTEND;Test-17;2;2
MR169;CONJUNCTIVE_EXTEND;Test-06;3;5
MR88;CONJUNCTIVE_CONTRACT;Test-04;3;9
MR493;CONJUNCTIVE_CONTRACT;Test-17;3;8
MR193;CONJUNCTIVE_CONTRACT;Test-07;3;9
MR55;EQUIVALENCE_EXTEND;Test-02;2;2
MR180;EQUIVALENCE_EXTEND;Test-06;2;2
MR65;CONJUNCTIVE_CONTRACT;Test-03;3;9
MR437;CONJUNCTIVE_EXTEND;Test-15;3;5
MR577;CONJUNCTIVE_CONTRACT;Test-20;2;12
MR412;CONJUNCTIVE_EXTEND;Test-14;2;5
MR105;CONJUNCTIVE_EXTEND;Test-04;2;6
MR112;DISJOINT_EXTEND;Test-04;5;5
