MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;STC;FUTC_1;FUTC_2;FUTC_3;FUTC_4;FUTC_5;FUTC_6
MR65;DISJOINT_EXTEND;Test-19;13;5;5;[placeOfBirth, citizenship:Spain, secondCitizenship, confederation, monthBirth, yearBirth, minAge, maxAge, minYear, maxYear, minHeight, maxHeight, limit];[citizenship:Haiti];[citizenship:Afghanistan];[citizenship:Albania];[citizenship:Algeria];[citizenship:American Samoa];[]
MR71;DISJOINT_EXTEND;Test-20;13;2;2;[placeOfBirth, exactSearch, citizenship, secondCitizenship, countryOfBirth, confederation:FIFA, monthBirth, maxAge, minYear, maxYear, minHeight, maxHeight, limit];[confederation:AFC];[confederation:CAF];[];[];[];[]
MR56;DISJOINT_EXTEND;Test-16;10;5;5;[placeOfBirth, exactSearch, citizenship:Spain, countryOfBirth, monthBirth, yearBirth, minYear, maxYear, maxHeight, limit];[citizenship:Haiti];[citizenship:Afghanistan];[citizenship:Albania];[citizenship:Algeria];[citizenship:American Samoa];[]
MR16;DISJOINT_EXTEND;Test-05;9;6;6;[placeOfBirth, exactSearch, citizenship, secondCitizenship, confederation:FIFA, yearBirth, minAge, maxYear, limit];[confederation:AFC];[confederation:CAF];[confederation:CONCACAF];[confederation:CONMEBOL];[confederation:OFC];[confederation:UEFA]
MR13;DISJOINT_EXTEND;Test-04;10;4;4;[placeOfBirth, exactSearch, secondCitizenship, countryOfBirth:Spain, minAge, maxAge, minYear, maxYear, maxHeight, limit];[countryOfBirth:Haiti];[countryOfBirth:Afghanistan];[countryOfBirth:Albania];[countryOfBirth:Algeria];[];[]
MR24;DISJOINT_EXTEND;Test-07;10;3;3;[exactSearch, citizenship:Germany, secondCitizenship, confederation, dayBirth, yearBirth, minYear, minHeight, maxHeight, limit];[citizenship:Haiti];[citizenship:Afghanistan];[citizenship:Albania];[];[];[]
MR37;DISJOINT_EXTEND;Test-10;10;3;3;[placeOfBirth, secondCitizenship:Spain, countryOfBirth, confederation, monthBirth, yearBirth, maxAge, minHeight, maxHeight, limit];[secondCitizenship:Haiti];[secondCitizenship:Afghanistan];[secondCitizenship:Albania];[];[];[]
MR29;DISJOINT_EXTEND;Test-08;11;4;4;[placeOfBirth, citizenship, confederation:FIFA, monthBirth, yearBirth, minAge, maxAge, minYear, maxYear, minHeight, limit];[confederation:AFC];[confederation:CAF];[confederation:CONCACAF];[confederation:CONMEBOL];[];[]
MR15;DISJOINT_EXTEND;Test-05;9;4;4;[placeOfBirth, exactSearch, citizenship:Spain, secondCitizenship, confederation, yearBirth, minAge, maxYear, limit];[citizenship:Haiti];[citizenship:Afghanistan];[citizenship:Albania];[citizenship:Algeria];[];[]
MR32;DISJOINT_EXTEND;Test-09;11;6;6;[placeOfBirth, exactSearch, citizenship:Germany, countryOfBirth, dayBirth, monthBirth, maxAge, maxYear, minHeight, maxHeight, limit];[citizenship:Haiti];[citizenship:Afghanistan];[citizenship:Albania];[citizenship:Algeria];[citizenship:American Samoa];[citizenship:American Virgin Islands]
MR35;DISJOINT_EXTEND;Test-10;10;5;5;[placeOfBirth, secondCitizenship:Spain, countryOfBirth, confederation, monthBirth, yearBirth, maxAge, minHeight, maxHeight, limit];[secondCitizenship:Haiti];[secondCitizenship:Afghanistan];[secondCitizenship:Albania];[secondCitizenship:Algeria];[secondCitizenship:American Samoa];[]
MR17;DISJOINT_EXTEND;Test-05;9;6;6;[placeOfBirth, exactSearch, citizenship:Spain, secondCitizenship, confederation, yearBirth, minAge, maxYear, limit];[citizenship:Haiti];[citizenship:Afghanistan];[citizenship:Albania];[citizenship:Algeria];[citizenship:American Samoa];[citizenship:American Virgin Islands]
MR11;DISJOINT_EXTEND;Test-04;10;3;3;[placeOfBirth, exactSearch, secondCitizenship:Argentina, countryOfBirth, minAge, maxAge, minYear, maxYear, maxHeight, limit];[secondCitizenship:Haiti];[secondCitizenship:Afghanistan];[secondCitizenship:Albania];[];[];[]
MR31;DISJOINT_EXTEND;Test-09;11;1;1;[placeOfBirth, exactSearch, citizenship, countryOfBirth:Spain, dayBirth, monthBirth, maxAge, maxYear, minHeight, maxHeight, limit];[countryOfBirth:Haiti];[];[];[];[];[]
