MR;Type;STC;FUTCs;LocalDistance
MR24;SHUFFLING_EXTEND;Test-10;2;2
MR17;DISJUNCTIVE_CONTRACT;Test-07;1;1
MR11;SHUFFLING_EXTEND;Test-05;2;2
MR19;SHUFFLING_EXTEND;Test-08;1;1
MR10;CONJUNCTIVE_CONTRACT;Test-05;1;1
MR4;EQUIVALENCE_EXTEND;Test-01;1;1
MR13;CONJUNCTIVE_CONTRACT;Test-06;1;1
MR9;SHUFFLING_EXTEND;Test-03;2;2
MR20;DISJUNCTIVE_EXTEND;Test-09;1;1
MR18;SHUFFLING_EXTEND;Test-07;1;1
MR0;CONJUNCTIVE_EXTEND;Test-01;1;1
MR23;DISJUNCTIVE_EXTEND;Test-10;1;1
MR15;SHUFFLING_EXTEND;Test-06;2;2
MR5;DISJUNCTIVE_EXTEND;Test-02;1;1
MR8;CONJUNCTIVE_CONTRACT;Test-03;1;1
MR3;SHUFFLING_EXTEND;Test-01;2;2
MR6;SHUFFLING_EXTEND;Test-02;1;1
MR21;SHUFFLING_CONTRACT;Test-09;1;1
MR16;CONJUNCTIVE_EXTEND;Test-07;1;1
MR2;SHUFFLING_CONTRACT;Test-01;1;1
MR1;DISJUNCTIVE_CONTRACT;Test-01;1;1
MR14;SHUFFLING_CONTRACT;Test-06;1;1
MR22;SHUFFLING_EXTEND;Test-09;2;2
MR12;EQUIVALENCE_EXTEND;Test-05;1;1
MR7;EQUIVALENCE_EXTEND;Test-02;1;1
