MR;Type;STC;FUTCs;LocalDistance
MR58;EQUIVALENCE_EXTEND;Test-10;2;2
MR91;DISJOINT_EXTEND;Test-19;1;1
MR257;DISJOINT_EXTEND;Test-64;1;1
MR52;DISJOINT_EXTEND;Test-10;1;1
MR69;EQUIVALENCE_EXTEND;Test-13;1;1
MR145;EQUIVALENCE_EXTEND;Test-31;1;2
MR209;DISJOINT_EXTEND;Test-49;1;1
MR132;EQUIVALENCE_EXTEND;Test-28;1;3
MR35;EQUIVALENCE_EXTEND;Test-07;1;1
MR220;DISJOINT_EXTEND;Test-53;1;1
MR196;DISJOINT_EXTEND;Test-44;1;1
MR250;EQUIVALENCE_EXTEND;Test-61;1;3
MR49;DISJOINT_EXTEND;Test-09;1;1
MR46;DISJOINT_EXTEND;Test-09;1;1
MR12;DISJOINT_EXTEND;Test-03;1;1
MR202;DISJOINT_EXTEND;Test-45;1;1
MR211;EQUIVALENCE_EXTEND;Test-49;1;1
MR147;DISJOINT_EXTEND;Test-32;1;1
MR200;EQUIVALENCE_EXTEND;Test-44;1;1
MR57;EQUIVALENCE_EXTEND;Test-10;2;3
MR236;DISJOINT_EXTEND;Test-58;1;1
MR23;DISJOINT_EXTEND;Test-05;2;2
MR148;DISJOINT_EXTEND;Test-32;1;1
MR106;DISJOINT_EXTEND;Test-23;2;2
MR3;EQUIVALENCE_EXTEND;Test-01;1;2
MR70;EQUIVALENCE_EXTEND;Test-13;1;1
MR143;EQUIVALENCE_EXTEND;Test-31;1;1
MR258;DISJOINT_EXTEND;Test-64;1;1
MR37;EQUIVALENCE_EXTEND;Test-07;2;5
MR241;DISJOINT_EXTEND;Test-59;1;1
MR154;DISJOINT_EXTEND;Test-33;2;2
MR90;DISJOINT_EXTEND;Test-19;1;1
MR88;DISJOINT_EXTEND;Test-19;2;2
MR183;DISJOINT_EXTEND;Test-42;1;1
MR155;DISJOINT_EXTEND;Test-33;1;1
MR111;DISJOINT_EXTEND;Test-24;1;1
MR20;EQUIVALENCE_EXTEND;Test-04;2;2
MR83;EQUIVALENCE_EXTEND;Test-16;1;2
MR7;DISJOINT_EXTEND;Test-02;2;2
MR167;DISJOINT_EXTEND;Test-37;1;1
MR54;DISJOINT_EXTEND;Test-10;1;1
MR98;EQUIVALENCE_EXTEND;Test-20;1;3
MR215;EQUIVALENCE_EXTEND;Test-51;1;1
MR81;DISJOINT_EXTEND;Test-16;1;1
MR43;DISJOINT_EXTEND;Test-08;1;1
MR92;EQUIVALENCE_EXTEND;Test-19;1;1
MR244;DISJOINT_EXTEND;Test-60;1;1
MR96;DISJOINT_EXTEND;Test-20;1;1
MR61;DISJOINT_EXTEND;Test-11;2;2
MR255;EQUIVALENCE_EXTEND;Test-62;1;1
MR151;EQUIVALENCE_EXTEND;Test-32;1;3
MR237;DISJOINT_EXTEND;Test-58;2;2
MR182;DISJOINT_EXTEND;Test-42;1;1
MR53;DISJOINT_EXTEND;Test-10;1;1
MR138;EQUIVALENCE_EXTEND;Test-29;1;2
MR247;DISJOINT_EXTEND;Test-61;1;1
MR95;DISJOINT_EXTEND;Test-20;1;1
MR44;DISJOINT_EXTEND;Test-08;1;1
MR94;DISJOINT_EXTEND;Test-20;1;1
MR71;DISJOINT_EXTEND;Test-15;1;1
MR139;DISJOINT_EXTEND;Test-31;1;1
MR126;DISJOINT_EXTEND;Test-27;2;2
MR80;DISJOINT_EXTEND;Test-16;1;1
MR213;DISJOINT_EXTEND;Test-51;2;2
MR201;DISJOINT_EXTEND;Test-45;1;1
MR232;EQUIVALENCE_EXTEND;Test-56;2;3
MR84;EQUIVALENCE_EXTEND;Test-16;1;2
MR87;DISJOINT_EXTEND;Test-18;1;1
MR131;EQUIVALENCE_EXTEND;Test-28;1;3
MR125;EQUIVALENCE_EXTEND;Test-26;2;3
MR248;DISJOINT_EXTEND;Test-61;1;1
MR178;DISJOINT_EXTEND;Test-41;2;2
MR110;DISJOINT_EXTEND;Test-24;1;1
MR13;EQUIVALENCE_EXTEND;Test-03;1;1
MR172;EQUIVALENCE_EXTEND;Test-37;1;1
MR191;DISJOINT_EXTEND;Test-43;1;1
MR30;DISJOINT_EXTEND;Test-06;1;1
MR10;DISJOINT_EXTEND;Test-03;1;1
MR26;EQUIVALENCE_EXTEND;Test-05;2;4
MR214;DISJOINT_EXTEND;Test-51;1;1
MR188;EQUIVALENCE_EXTEND;Test-42;1;3
MR56;EQUIVALENCE_EXTEND;Test-10;1;1
MR137;EQUIVALENCE_EXTEND;Test-29;1;1
MR39;EQUIVALENCE_EXTEND;Test-07;1;1
MR219;DISJOINT_EXTEND;Test-53;1;1
MR17;DISJOINT_EXTEND;Test-04;1;1
MR50;EQUIVALENCE_EXTEND;Test-09;1;1
MR235;EQUIVALENCE_EXTEND;Test-57;1;1
MR175;DISJOINT_EXTEND;Test-39;2;2
MR162;DISJOINT_EXTEND;Test-34;1;1
MR156;DISJOINT_EXTEND;Test-33;1;1
MR164;DISJOINT_EXTEND;Test-35;2;2
MR103;DISJOINT_EXTEND;Test-23;1;1
MR230;DISJOINT_EXTEND;Test-56;1;1
MR168;DISJOINT_EXTEND;Test-37;2;2
MR19;EQUIVALENCE_EXTEND;Test-04;1;2
MR75;DISJOINT_EXTEND;Test-15;2;2
MR97;DISJOINT_EXTEND;Test-20;1;1
MR101;DISJOINT_EXTEND;Test-21;1;1
MR193;EQUIVALENCE_EXTEND;Test-43;1;3
MR31;EQUIVALENCE_EXTEND;Test-06;1;2
MR5;DISJOINT_EXTEND;Test-02;1;1
MR234;EQUIVALENCE_EXTEND;Test-56;1;1
MR116;EQUIVALENCE_EXTEND;Test-24;1;1
MR212;EQUIVALENCE_EXTEND;Test-49;1;3
MR135;EQUIVALENCE_EXTEND;Test-29;3;4
MR93;EQUIVALENCE_EXTEND;Test-19;1;2
MR224;EQUIVALENCE_EXTEND;Test-53;1;4
MR149;EQUIVALENCE_EXTEND;Test-32;3;3
MR6;DISJOINT_EXTEND;Test-02;1;1
MR157;EQUIVALENCE_EXTEND;Test-33;1;1
MR152;EQUIVALENCE_EXTEND;Test-32;1;3
