MR;Type;STC;FUTCs;LocalDistance
MR1008;SHUFFLING_EXTEND;Test-60;5;5
MR718;SHUFFLING_EXTEND;Test-42;5;5
MR646;SHUFFLING_EXTEND;Test-37;5;5
MR989;SHUFFLING_EXTEND;Test-59;4;4
MR699;SHUFFLING_EXTEND;Test-41;5;5
MR36;COMPLETE_EXTEND;Test-02;3;3
MR592;SHUFFLING_EXTEND;Test-33;5;5
MR489;SHUFFLING_EXTEND;Test-27;6;6
MR1025;SHUFFLING_EXTEND;Test-61;4;4
MR825;SHUFFLING_EXTEND;Test-49;5;5
MR252;CONJUNCTIVE_EXTEND;Test-13;2;4
MR62;SHUFFLING_EXTEND;Test-04;4;4
MR874;SHUFFLING_EXTEND;Test-52;5;5
MR687;SHUFFLING_EXTEND;Test-40;5;5
MR308;SHUFFLING_EXTEND;Test-16;4;4
MR555;CONJUNCTIVE_EXTEND;Test-31;3;6
MR289;SHUFFLING_EXTEND;Test-15;4;4
MR410;CONJUNCTIVE_EXTEND;Test-23;1;2
MR521;CONJUNCTIVE_EXTEND;Test-29;3;5
MR134;SHUFFLING_EXTEND;Test-07;4;4
MR630;SHUFFLING_EXTEND;Test-36;5;5
MR29;CONJUNCTIVE_CONTRACT;Test-02;4;15
MR607;SHUFFLING_EXTEND;Test-34;5;5
MR345;SHUFFLING_EXTEND;Test-19;4;4
MR151;CONJUNCTIVE_EXTEND;Test-08;3;4
MR456;SHUFFLING_EXTEND;Test-25;4;4
MR573;CONJUNCTIVE_EXTEND;Test-32;3;6
MR80;CONJUNCTIVE_CONTRACT;Test-05;6;15
MR472;SHUFFLING_EXTEND;Test-26;4;4
MR860;SHUFFLING_EXTEND;Test-51;5;5
MR32;SHUFFLING_EXTEND;Test-02;3;3
MR115;COMPLETE_EXTEND;Test-06;3;3
MR560;SHUFFLING_EXTEND;Test-31;4;4
MR525;SHUFFLING_EXTEND;Test-29;4;4
MR174;CONJUNCTIVE_EXTEND;Test-09;2;3
MR315;COMPLETE_EXTEND;Test-16;3;3
MR541;SHUFFLING_EXTEND;Test-30;5;5
MR415;SHUFFLING_EXTEND;Test-23;3;3
MR132;CONJUNCTIVE_EXTEND;Test-07;2;4
MR244;SHUFFLING_EXTEND;Test-12;4;4
MR757;SHUFFLING_EXTEND;Test-44;3;3
MR361;CONJUNCTIVE_EXTEND;Test-20;3;4
MR708;CONJUNCTIVE_CONTRACT;Test-42;5;13
MR254;CONJUNCTIVE_EXTEND;Test-13;2;3
MR956;SHUFFLING_EXTEND;Test-57;4;4
MR512;COMPLETE_EXTEND;Test-28;3;3
MR287;CONJUNCTIVE_EXTEND;Test-15;2;5
MR274;SHUFFLING_EXTEND;Test-14;4;4
MR820;CONJUNCTIVE_EXTEND;Test-49;2;5
MR110;SHUFFLING_EXTEND;Test-06;3;3
MR438;SHUFFLING_EXTEND;Test-24;3;3
MR18;SHUFFLING_EXTEND;Test-01;5;5
