MR;Type;STC;FUTCs;LocalDistance
MR30;CONJUNCTIVE_CONTRACT;Test-02;3;19
MR976;CONJUNCTIVE_CONTRACT;Test-59;3;16
MR408;CONJUNCTIVE_CONTRACT;Test-23;3;16
MR985;CONJUNCTIVE_CONTRACT;Test-59;1;16
MR81;CONJUNCTIVE_CONTRACT;Test-05;2;15
MR296;CONJUNCTIVE_CONTRACT;Test-16;2;15
MR82;CONJUNCTIVE_CONTRACT;Test-05;3;15
MR79;CONJUNCTIVE_CONTRACT;Test-05;3;15
MR71;CONJUNCTIVE_CONTRACT;Test-05;5;15
MR401;CONJUNCTIVE_CONTRACT;Test-23;3;15
MR77;CONJUNCTIVE_CONTRACT;Test-05;4;15
MR83;CONJUNCTIVE_CONTRACT;Test-05;4;15
MR78;CONJUNCTIVE_CONTRACT;Test-05;4;15
MR80;CONJUNCTIVE_CONTRACT;Test-05;6;15
MR74;CONJUNCTIVE_CONTRACT;Test-05;4;15
MR84;CONJUNCTIVE_CONTRACT;Test-05;2;15
MR75;CONJUNCTIVE_CONTRACT;Test-05;2;15
MR85;CONJUNCTIVE_CONTRACT;Test-05;2;15
MR29;CONJUNCTIVE_CONTRACT;Test-02;4;15
MR1040;CONJUNCTIVE_CONTRACT;Test-62;2;14
MR1033;CONJUNCTIVE_CONTRACT;Test-62;1;14
MR1035;CONJUNCTIVE_CONTRACT;Test-62;3;14
MR1037;CONJUNCTIVE_CONTRACT;Test-62;2;14
MR1036;CONJUNCTIVE_CONTRACT;Test-62;2;14
MR1034;CONJUNCTIVE_CONTRACT;Test-62;2;14
MR1039;CONJUNCTIVE_CONTRACT;Test-62;3;14
MR986;CONJUNCTIVE_CONTRACT;Test-59;1;13
MR704;CONJUNCTIVE_CONTRACT;Test-42;4;13
MR427;CONJUNCTIVE_CONTRACT;Test-24;2;13
MR96;CONJUNCTIVE_CONTRACT;Test-06;4;13
MR98;CONJUNCTIVE_CONTRACT;Test-06;2;13
MR99;CONJUNCTIVE_CONTRACT;Test-06;2;13
MR429;CONJUNCTIVE_CONTRACT;Test-24;1;13
MR103;CONJUNCTIVE_CONTRACT;Test-06;3;13
MR102;CONJUNCTIVE_CONTRACT;Test-06;2;13
